,Ori. ,Dest.,Connect movement,PC Mov. Id,Co-load on,Original mov. Id,Org. GTW,Dst. GTW,STD,Offset,STA,Mo,Tu,We,Th,Fr,Sa,Su,Truck type,Load M.,Kg per M.,Remarks,Travel Time,Travel time,Distance in km,Contract By,Costs,Cost beared by,Operator,Costs per km,Combined with Mov.,Unnamed: 31,DE,cost per hour,cost per km
46,NL,GB,Y,PCNL01GB01C,,PEP_EIN_RYT_02,EINDHOVEN,Ryton Gateway,1900-01-03 01:00:00,0.0,1900-01-03 14:30:00,,X,X,X,X,,,Trailer,13.6,470,,17h,13.5,620,EURONET KÖLN,1670,Benelux,Edart,2.69354838709677,,,0,123.70370370370400,2.693548387096770
47,NL,GB,Y,PCNL01GB01C,,PEP_EIN_RYT_02,EINDHOVEN,Ryton Gateway,1900-01-03 01:00:00,2.0,1900-01-03 07:00:00,,,,,,X,,Trailer,13.6,470,,17h,54.0,620,EURONET KÖLN,1670,Benelux,Edart,2.69354838709677,,,0,30.925925925925900,2.693548387096770
48,NL,GB,Y,PCNL01GB01D,,PEP_EIN_RYT_03,EINDHOVEN,Ryton Gateway,1900-01-03 02:30:00,0.0,1900-01-03 15:00:00,,X,X,X,X,,,Trailer,13.6,470,,17h,12.5,620,EURONET KÖLN,1670,Benelux,Edart,2.69354838709677,,,0,133.6,2.693548387096770
49,NL,GB,Y,PCNL01GB01D,,PEP_EIN_RYT_03,EINDHOVEN,Ryton Gateway,1900-01-03 02:30:00,2.0,1900-01-03 10:00:00,,,,,,X,,Trailer,13.6,470,,17h,55.5,620,EURONET KÖLN,1670,Benelux,Edart,2.69354838709677,,,0,30.09009009009010,2.693548387096770
50,NL,PL,Y,PCNL01PL02A,Europlus ,DD2369A,EINDHOVEN,Koninko,1900-01-03 03:00:00,0.0,1900-01-03 17:00:00,,X,X,X,X,,,Trailer,13.6,470,,14h,14.0,894,NETWORK EUROPE,851.81,Benelux,SERVISC,0.952807606263982,,,0,60.84357142857140,0.9528076062639820
51,NL,PL,Y,PCNL01PL02A,Europlus ,DD2369A,EINDHOVEN,Koninko,1900-01-03 03:00:00,2.0,1900-01-03 17:00:00,,,,,,X,,Trailer,13.6,470,,62h,62.0,894,NETWORK EUROPE,851.81,Benelux,SERVISC,0.952807606263982,,,0,13.738870967741900,0.9528076062639820
52,NL,PL,Y,PCNL01PL03A,Europlus ,DD2368C,EINDHOVEN,Poznań,1900-01-03 02:30:00,0.0,1900-01-03 16:00:00,,X,X,X,X,,,Trailer,13.6,470,Only Coy parcels Europlus / Parcel Connect,13h 30mn,13.5,900,NETWORK EUROPE,826.06,Benelux,SERVISC,0.917844444444444,,,0,61.18962962962960,0.9178444444444440
53,NL,PL,Y,PCNL01PL03A,Europlus ,DD2368C,EINDHOVEN,Poznań,1900-01-03 02:30:00,2.0,1900-01-03 16:00:00,,,,,,X,,Trailer,13.6,470,Pallets Europlus Non Con Europlus adn Parcel Connect,61h 30mn,61.5,900,NETWORK EUROPE,826.06,Benelux,SERVISC,0.917844444444444,,,0,13.431869918699200,0.9178444444444440
54,NL,SE,Y,PCNL01SE01A,Europlus ,PEP_EIN_MMA_01,EINDHOVEN,ARLÖV,1900-01-03 00:01:00,0.0,1900-01-03 13:30:00,,X,X,X,X,,,Trailer,13.6,470,,13h 30mn,13.4833333333333,845,EURONET KÖLN,2090,Benelux,Kim Johansen,2.47337278106509,, ,0,155.00618046971600,2.473372781065090
55,NL,SE,Y,PCNL01SE01A,Europlus ,PEP_EIN_MMA_01,EINDHOVEN,ARLÖV,1900-01-03 00:01:00,2.0,1900-01-03 10:00:00,,,,,,X,,Trailer,13.6,470,,58h,57.9833333333333,845,EURONET KÖLN,2090,Benelux,Kim Johansen,2.47337278106509,,,0,36.04484047139990,2.473372781065090
56,NL,SE,Y,PCNL01SE01B,Europlus ,PEP_EIN_MMA_02,EINDHOVEN,ARLÖV,1900-01-03 02:00:00,0.0,1900-01-03 14:30:00,,X,X,X,X,,,Trailer,13.6,470,,12h 30 m,12.5,845,EURONET KÖLN,2090,Benelux,Sasho Sped,2.47337278106509,,,0,167.2,2.473372781065090
57,NL,SE,Y,PCNL01SE01B,Europlus ,PEP_EIN_MMA_02,EINDHOVEN,ARLÖV,1900-01-03 02:00:00,2.0,1900-01-03 10:30:00,,,,,,X,,Trailer,13.6,470,,56h 30m,56.5,845,EURONET KÖLN,2090,Benelux,Sasho Sped,2.47337278106509,,,0,36.991150442477900,2.473372781065090
58,PL,LT,Y,PCPL01LT01A,,,Ełk,Kaunas,1900-01-03 10:40:00,0.0,1900-01-03 15:00:00,X,X,X,X,X,,,van,3.0,619,Only Connect,5h,4.33333333333333,500,DHL Parcel PL,235,DHL Parcel PL,AUTO MROZ ELK,0.47,,,0,54.23076923076930,0.47
59,PL,DE,Y,PCPL03DE15A,,,Poznań,Rüdersdorf,1900-01-03 08:30:00,0.0,1900-01-03 12:00:00,X,X,X,X,X,,,2 swap bodies,14.0,619,Also return Weltpaket, ,3.5,242,DHL Parcel PL,400,DHL Parcel PL,DROBNIK TRANSPORT,1.65289256198347,,,1,114.28571428571400,1.6528925619834700
60,PL,DE,Y,PCPL03DE15B,,,Poznań,Rüdersdorf,1900-01-03 09:00:00,0.0,1900-01-03 12:30:00,X,X,X,X,X,,,2 swap bodies,14.0,619,Also return Weltpaket, ,3.5,242,DHL Parcel PL,400,DHL Parcel PL,DROBNIK TRANSPORT,1.65289256198347,,,1,114.28571428571400,1.6528925619834700
61,PL,DE,Y,PCPL03DE15C,,,Poznań,Rüdersdorf,1900-01-03 09:30:00,0.0,1900-01-03 13:00:00,X,X,X,X,X,,,2 swap bodies,14.0,619,Also return Weltpaket, ,3.5,242,DHL Parcel PL,400,DHL Parcel PL,DROBNIK TRANSPORT,1.65289256198347,,,1,114.28571428571400,1.6528925619834700
62,PL,CZ,Y,PCPL07CZ03A,,,Zabrze,Ostrava,1900-01-03 16:30:00,0.0,1900-01-03 19:00:00,X,X,X,X,X,,,trailer,13.6,619,Only Connect , ,2.5,84,PPL,125,DHL Parcel PL,,1.48809523809524,Part of round trip (on way back might be DDI material),,0,50.0,1.4880952380952400
63,SE,NO,Y,PCSE02NO01A,DHLF,GOTOSL,Göteborg,Oslo,1900-01-03 16:00:00,1.0,1900-01-03 01:00:00,X,X,X,X,,,,,,562,,,9.0,99999,DHL Freight ,0,,,,,,0,0.0,0.0
64,SE,NO,Y,PCSE02NO01A,DHLF,GOTOSL,Göteborg,Oslo,1900-01-03 16:00:00,2.0,1900-01-03 01:00:00,,,,,X,,,,,562,,,33.0,99999,DHL Freight ,0,,,,,,0,0.0,0.0
65,SE,NO,Y,PCSE02NO01B,DHLF,GOTOSL,Göteborg,Oslo,1900-01-03 11:00:00,0.0,1900-01-03 18:00:00,X,X,X,X,X,,,,,562,,,7.0,99999,DHL Freight ,0,,,,,,0,0.0,0.0
66,SE,FI,Y,PCSE04FI01A,DHLF,STOTKU,Stockholm,Turku (Lieto),1900-01-03 06:00:00,0.0,1900-01-03 20:15:00,X,X,X,X,X,,,,,562,,,14.25,99999,DHL Freight ,0,,,,,,0,0.0,0.0
67,SE,FI,Y,PCSE04FI01B,DHLF,STOTKU,Stockholm,Turku (Lieto),1900-01-03 17:00:00,1.0,1900-01-03 08:30:00,X,X,X,X,X,,,,,562,,,15.5,99999,DHL Freight ,0,,,,,,0,0.0,0.0
68,SE,NL,Y,PCSE03NL01A,DHLF,AGHEIN,Helsingborg,Eindhoven,1900-01-03 18:00:00,1.0,1900-01-03 15:00:00,X,X,X,X,,,,,,562,,,21.0,99999,DHL Freight ,0,,,,,,0,0.0,0.0
69,SE,NL,Y,PCSE03NL01A,DHLF,AGHEIN,Helsingborg,Eindhoven,1900-01-03 16:00:00,2.0,1900-01-03 08:00:00,,,,,,X,,,,562,,,40.0,99999,DHL Freight ,0,,,,,,0,0.0,0.0
70,FI,SE,Y,PCFI01SE04A,DHLF,TKUSTO,Turku (Lieto),Stockholm,1900-01-03 08:00:00,0.0,1900-01-03 20:00:00,,X,X,X,X,,,,,562,,,12.0,99999,DHL Freight ,0,,,,,,0,0.0,0.0
71,FI,SE,Y,PCFI01SE04B,DHLF,TKUSTO,Turku (Lieto),Stockholm,1900-01-03 17:00:00,1.0,1900-01-03 08:00:00,X,X,X,X,,,,,,562,,,15.0,99999,DHL Freight ,0,,,,,,0,0.0,0.0
72,DE,BE,Y,PCDE50BE01A,Weltpaket (DPI),CGN NVH 01,Köln,Brüssel,1900-01-03 05:00:00,0.0,1900-01-03 08:30:00,X,X,X,X,X,,,Trailer,13.6,562,,03:30:00,3.5,207,DEUTSCHE POST,532,DPDHL,Ellenbürger,2.57004830917874,,,1,152.0,2.570048309178740
73,DE,BE,Y,PCDE50BE01B,Weltpaket (DPI),CGN NVH 02,Köln,Brüssel,1900-01-03 09:00:00,0.0,1900-01-03 12:30:00,X,X,X,X,X,X,,Trailer,13.6,562,,03:30:00,3.5,207,DEUTSCHE POST,404,DPDHL,Ellenbürger,1.95169082125604,,,1,115.42857142857100,1.9516908212560400
74,DE,BE,Y,PCDE50BE01C,Weltpaket (DPI),CGN NVH 04,Köln,Brüssel,1900-01-03 13:45:00,0.0,1900-01-03 16:45:00,X,X,X,X,X,,,Trailer,13.6,562,,0.125,3.0,207,DEUTSCHE POST,532,DPDHL,Ellenbürger,2.57004830917874,,,1,177.33333333333300,2.570048309178740
75,DE,NL,Y,PCDE46NL03A,Weltpaket (DPI),T 461B,Dorsten,Zaltbommel,1900-01-03 04:05:00,0.0,1900-01-03 06:30:00,X,X,X,X,X,,,2 swap bodies,14.9,562,,02:25:00,2.41666666666667,240,DEUTSCHE POST,0,DPDHL,EURONET Domestic DE,0,,,1,0.0,0.0
76,DE,NL,Y,PCDE46NL03B,Weltpaket (DPI),T 461B,Dorsten,Zaltbommel,1900-01-03 04:25:00,0.0,1900-01-03 06:50:00,X,X,X,X,X,,,2 swap bodies,14.9,562,,02:25:00,2.41666666666667,240,DEUTSCHE POST,0,DPDHL,EURONET Domestic DE,0,,,1,0.0,0.0
