,Origin Country,Destination Country,From,To,Distance,Duration,est_tt
69,AT,AT,Wien 1-AT,Wundschuh-AT,1.652,0.06666666666666667,1.4933333333333332
70,AT,AT,Wien 1-AT,Wernberg-AT,158.555,1.6333333333333333,3.6866666666666665
71,AT,DE,Wien 1-AT,PZ 44 (Bochum) [im Bau]-DE,950.947,7.916666666666666,12.483333333333333
72,AT,CZ,Wien 1-AT,Zlin-CZ,421.746,4.15,7.210000000000001
73,AT,AT,Wien-AT,Wien 1-AT,198.743,1.9,4.06
74,AT,AT,Wien-AT,Wien-AT,0.0,0.0,1.4
75,AT,BE,Wien-AT,Brüssel-BE,1110.563,9.233333333333333,14.326666666666664
76,AT,BG,Wien-AT,Sofia-BG,1013.239,9.783333333333333,15.096666666666666
77,AT,CZ,Wien-AT,Brno-CZ,150.975,1.8166666666666664,3.943333333333333
78,AT,CZ,Wien-AT,Ostrava-CZ,305.98,3.2,5.879999999999999
79,AT,CZ,Wien-AT,Krupka-CZ,439.767,4.516666666666667,7.723333333333333
80,AT,CZ,Wien-AT,Plzen-CZ,431.305,4.266666666666667,7.373333333333333
81,AT,CZ,Wien-AT,Hradec Kralove-CZ,293.2,3.9333333333333336,6.906666666666666
82,AT,DE,Wien-AT,Speyer-DE,723.631,6.233333333333334,10.126666666666667
83,AT,DE,Wien-AT,Köln-DE,903.588,7.483333333333333,11.876666666666667
84,AT,DE,Wien-AT,Radefeld-DE,600.911,5.733333333333333,9.426666666666666
85,AT,DE,Wien-AT,Feucht-DE,492.341,4.216666666666667,7.303333333333333
86,AT,DE,Wien-AT,Lahr-DE,822.35,6.85,10.989999999999998
87,AT,DE,Wien-AT,Regensburg-DE,395.198,3.4333333333333336,6.206666666666667
88,AT,DE,Wien-AT,Hamburg-DE,978.075,8.733333333333333,13.626666666666665
89,AT,DE,Wien-AT,Dorsten-DE,981.485,8.1,12.739999999999998
90,AT,DE,Wien-AT,Hagen-DE,916.64,7.583333333333333,12.016666666666666
91,AT,DE,Wien-AT,Neuwied-DE,629.328,5.45,9.03
92,AT,DE,Wien-AT,Krefeld-DE,966.731,7.933333333333334,12.506666666666666
93,AT,DE,Wien-AT,Rüdersdorf-DE,697.736,6.566666666666666,10.593333333333332
94,AT,DK,Wien-AT,Kolding-DK,1120.741,12.0,29.199999999999996
95,AT,ES,Wien-AT,Barcelona-ES,1789.945,15.899999999999999,34.66
96,AT,ES,Wien-AT,Madrid-ES,2402.843,21.3,53.22
97,AT,ES,Wien-AT,Vitoria-ES,2065.062,18.45,38.23
98,AT,FI,Wien-AT,Turku (Lieto)-FI,1951.907,24.333333333333332,57.46666666666666
