,0,1,2,3
199,BE,BG,ES,-0.0
200,BE,CZ,ES,-0.0
201,BE,DE,ES,-0.0
202,BE,FL,ES,-0.0
203,BE,GB,ES,-0.0
204,BE,HU,ES,-0.0
205,BE,LT,ES,-0.0
206,BE,NL,ES,-0.0
207,BE,PL,ES,-0.0
208,BE,PT,ES,-0.0
209,BE,SE,ES,-0.0
210,BE,SI,ES,-0.0
211,BE,SK,ES,-0.0
212,BE,DK,ES,-0.0
213,BE,FR,ES,-0.0
214,BE,GR,ES,-0.0
215,BE,HR,ES,-0.0
216,BE,IE,ES,-0.0
217,BE,LU,ES,-0.0
218,BE,NO,ES,-0.0
219,BE,RO,ES,-0.0
220,BE,AT,FL,-0.0
221,BE,BG,FL,-0.0
222,BE,CZ,FL,-0.0
223,BE,DE,FL,0.0
224,BE,ES,FL,-0.0
225,BE,GB,FL,-0.0
226,BE,HU,FL,-0.0
227,BE,LT,FL,0.0
228,BE,NL,FL,1.0
229,BE,PL,FL,-0.0
230,BE,PT,FL,-0.0
231,BE,SE,FL,0.0
232,BE,SI,FL,-0.0
233,BE,SK,FL,-0.0
234,BE,DK,FL,0.0
235,BE,FR,FL,-0.0
236,BE,GR,FL,-0.0
237,BE,HR,FL,-0.0
238,BE,IE,FL,-0.0
239,BE,LU,FL,-0.0
240,BE,NO,FL,-0.0
241,BE,RO,FL,-0.0
242,BE,AT,FR,-0.0
243,BE,BG,FR,0.0
244,BE,CZ,FR,-0.0
245,BE,DE,FR,-0.0
246,BE,ES,FR,-0.0
247,BE,FL,FR,-0.0
248,BE,GB,FR,-0.0
249,BE,HU,FR,-0.0
250,BE,LT,FR,0.0
251,BE,NL,FR,-0.0
252,BE,PL,FR,-0.0
253,BE,PT,FR,0.0
254,BE,SE,FR,-0.0
255,BE,SI,FR,0.0
256,BE,SK,FR,-0.0
257,BE,DK,FR,0.0
258,BE,GR,FR,0.0
259,BE,HR,FR,0.0
260,BE,IE,FR,-0.0
261,BE,LU,FR,0.0
262,BE,NO,FR,0.0
263,BE,RO,FR,0.0
264,BE,AT,GB,-0.0
265,BE,BG,GB,-0.0
266,BE,CZ,GB,-0.0
267,BE,DE,GB,-0.0
268,BE,ES,GB,-0.0
269,BE,FL,GB,-0.0
270,BE,HU,GB,-0.0
271,BE,LT,GB,-0.0
272,BE,NL,GB,-0.0
273,BE,PL,GB,-0.0
274,BE,PT,GB,-0.0
