,Ori_Hub,Dest_Hub,Nights
50,Helsingborg-SE,Poznań-PL,1.0
51,Hub Wien I-AT,Brno-CZ,-0.0
52,Hub Wien I-AT,Budapest OLK-HU,-0.0
53,Hub Wien I-AT,Ivanka pri Dunaji-SK,-0.0
54,Hub Wien I-AT,Ljubljana-SI,-0.0
55,Hub Wien I-AT,Oradea-RO,1.0
56,Hub Wien I-AT,PZ 90 (Feucht/Nürnberg)-DE,-0.0
57,Hub Wien I-AT,Sofia-BG,1.0
58,Hub Wien I-AT,Zagreb-HR,-0.0
59,Ivanka pri Dunaji-SK,Brno-CZ,-0.0
60,Kaunas-LT,Lieto (Turku)-FL,1.0
61,Kolding-DK,Malmö-SE,-0.0
62,Krupka 1-CZ,Eindhoven-Noord-NL,1.0
63,Krupka 1-CZ,PZ 04 (Radefeld/Leipzig)-DE,-0.0
64,Krupka 1-CZ,PZ 15 (Rüdersdorf)-DE,-0.0
65,Lieto (Turku)-FL,Brüssel-BE,2.0
66,Lieto (Turku)-FL,Eindhoven-Noord-NL,2.0
67,Lieto (Turku)-FL,Helsingborg-SE,1.0
68,Lieto (Turku)-FL,Kolding-DK,1.0
69,Lieto (Turku)-FL,PZ 21 (Hamburg)-DE,2.0
70,Lieto (Turku)-FL,Stockholm - Västberga-SE,1.0
71,Lisboa-PT,Eindhoven-Noord-NL,2.0
72,Lisboa-PT,PZ 50 (Köln)-DE,2.0
73,Lisboa-PT,PZ 77 (Lahr)-DE,2.0
74,Lisboa-PT,PZ 90 (Feucht/Nürnberg)-DE,2.0
75,Lisboa-PT,Slough-GB,2.0
76,Ljubljana-SI,PZ 90 (Feucht/Nürnberg)-DE,-0.0
77,Ljubljana-SI,Wernberg-AT,-0.0
78,Malmö-SE,Eindhoven-Noord-NL,1.0
79,Malmö-SE,Kolding-DK,-0.0
80,Malmö-SE,Krupka 1-CZ,1.0
81,Malmö-SE,PZ 21 (Hamburg)-DE,-0.0
82,Malmö-SE,Slough-GB,1.0
83,Malmö-SE,Wals-AT,1.0
84,Ostrava-CZ,Zabrze-PL,-0.0
85,PZ 04 (Radefeld/Leipzig)-DE,Krupka 1-CZ,-0.0
86,PZ 15 (Rüdersdorf)-DE,Malmö-SE,1.0
87,PZ 15 (Rüdersdorf)-DE,Poznań-PL,-0.0
88,PZ 21 (Hamburg)-DE,Kolding-DK,-0.0
89,PZ 21 (Hamburg)-DE,Oslo-NO,1.0
90,PZ 24 (Neumünster)-DE,Malmö-SE,-0.0
91,PZ 47 (Krefeld)-DE,Brüssel-BE,-0.0
92,PZ 47 (Krefeld)-DE,Eindhoven-Noord-NL,-0.0
93,PZ 47 (Krefeld)-DE,Slough-GB,1.0
94,PZ 50 (Köln)-DE,Bettembourg-LU,-0.0
95,PZ 50 (Köln)-DE,Combs la ville-FR,-0.0
96,PZ 50 (Köln)-DE,Helsingborg-SE,1.0
97,PZ 50 (Köln)-DE,Lisboa-PT,2.0
98,PZ 67 (Speyer)-DE,Plzen 1-CZ,-0.0
99,PZ 77 (Lahr)-DE,Barcelona-ES,1.0
100,PZ 90 (Feucht/Nürnberg)-DE,Brüssel-BE,-0.0
101,PZ 90 (Feucht/Nürnberg)-DE,Budapest OLK-HU,1.0
102,PZ 90 (Feucht/Nürnberg)-DE,Eindhoven-Noord-NL,-0.0
103,PZ 90 (Feucht/Nürnberg)-DE,Hub Wien I-AT,-0.0
104,PZ 90 (Feucht/Nürnberg)-DE,Oradea-RO,1.0
105,PZ 90 (Feucht/Nürnberg)-DE,Poznań-PL,-0.0
106,PZ 90 (Feucht/Nürnberg)-DE,Sofia-BG,1.0
107,PZ 90 (Feucht/Nürnberg)-DE,Zagreb-HR,-0.0
108,PZ 93 (Regensburg)-DE,Budapest OLK-HU,1.0
109,PZ 93 (Regensburg)-DE,Ivanka pri Dunaji-SK,-0.0
110,PZ 93 (Regensburg)-DE,Ljubljana-SI,-0.0
111,PZ 93 (Regensburg)-DE,Sofia-BG,1.0
