,0,1,2
118,Hall in Tirol-AT,Spata-GR,-0.0
119,Liesing-AT,Spata-GR,-0.0
120,Wundschuh-AT,Spata-GR,-0.0
121,Hub Wien I-AT,Zagreb-HR,-0.0
122,Hub Wien II-AT,Zagreb-HR,-0.0
123,Hub Graz-AT,Zagreb-HR,-0.0
124,Hagenbrunn-AT,Zagreb-HR,-0.0
125,Allhaming-AT,Zagreb-HR,-0.0
126,Enns-AT,Zagreb-HR,-0.0
127,Wernberg-AT,Zagreb-HR,-0.0
128,Wals-AT,Zagreb-HR,755.0
129,Hall in Tirol-AT,Zagreb-HR,-0.0
130,Liesing-AT,Zagreb-HR,-0.0
131,Wundschuh-AT,Zagreb-HR,-0.0
132,Hub Wien I-AT,Budapest OLK-HU,186.0
133,Hub Wien I-AT,Budapest NPKK (OE)-HU,0.0
134,Hub Wien II-AT,Budapest OLK-HU,-0.0
135,Hub Wien II-AT,Budapest NPKK (OE)-HU,-0.0
136,Hub Graz-AT,Budapest OLK-HU,-0.0
137,Hub Graz-AT,Budapest NPKK (OE)-HU,-0.0
138,Hagenbrunn-AT,Budapest OLK-HU,-0.0
139,Hagenbrunn-AT,Budapest NPKK (OE)-HU,-0.0
140,Allhaming-AT,Budapest OLK-HU,-0.0
141,Allhaming-AT,Budapest NPKK (OE)-HU,-0.0
142,Enns-AT,Budapest OLK-HU,-0.0
143,Enns-AT,Budapest NPKK (OE)-HU,-0.0
144,Wernberg-AT,Budapest OLK-HU,-0.0
145,Wernberg-AT,Budapest NPKK (OE)-HU,-0.0
146,Wals-AT,Budapest OLK-HU,-0.0
147,Wals-AT,Budapest NPKK (OE)-HU,-0.0
148,Hall in Tirol-AT,Budapest OLK-HU,-0.0
149,Hall in Tirol-AT,Budapest NPKK (OE)-HU,-0.0
150,Liesing-AT,Budapest OLK-HU,-0.0
151,Liesing-AT,Budapest NPKK (OE)-HU,-0.0
152,Wundschuh-AT,Budapest OLK-HU,-0.0
153,Wundschuh-AT,Budapest NPKK (OE)-HU,-0.0
154,Hub Wien I-AT,Portlaoise-IE,-0.0
155,Hub Wien I-AT,Dublin-IE,-0.0
156,Hub Wien II-AT,Portlaoise-IE,-0.0
157,Hub Wien II-AT,Dublin-IE,-0.0
158,Hub Graz-AT,Portlaoise-IE,-0.0
159,Hub Graz-AT,Dublin-IE,-0.0
160,Hagenbrunn-AT,Portlaoise-IE,-0.0
161,Hagenbrunn-AT,Dublin-IE,-0.0
162,Allhaming-AT,Portlaoise-IE,-0.0
163,Allhaming-AT,Dublin-IE,-0.0
164,Enns-AT,Portlaoise-IE,-0.0
165,Enns-AT,Dublin-IE,-0.0
166,Wernberg-AT,Portlaoise-IE,-0.0
167,Wernberg-AT,Dublin-IE,-0.0
168,Wals-AT,Portlaoise-IE,-0.0
169,Wals-AT,Dublin-IE,-0.0
170,Hall in Tirol-AT,Portlaoise-IE,-0.0
171,Hall in Tirol-AT,Dublin-IE,-0.0
172,Liesing-AT,Portlaoise-IE,-0.0
173,Liesing-AT,Dublin-IE,-0.0
174,Wundschuh-AT,Portlaoise-IE,-0.0
175,Wundschuh-AT,Dublin-IE,-0.0
176,Hub Wien I-AT,Kaunas-LT,-0.0
177,Hub Wien II-AT,Kaunas-LT,-0.0
178,Hub Graz-AT,Kaunas-LT,-0.0
179,Hagenbrunn-AT,Kaunas-LT,-0.0
180,Allhaming-AT,Kaunas-LT,-0.0
181,Enns-AT,Kaunas-LT,-0.0
182,Wernberg-AT,Kaunas-LT,-0.0
183,Wals-AT,Kaunas-LT,-0.0
184,Hall in Tirol-AT,Kaunas-LT,-0.0
185,Liesing-AT,Kaunas-LT,-0.0
186,Wundschuh-AT,Kaunas-LT,-0.0
187,Hub Wien I-AT,Lisboa-PT,-0.0
188,Hub Wien II-AT,Lisboa-PT,-0.0
189,Hub Graz-AT,Lisboa-PT,-0.0
190,Hagenbrunn-AT,Lisboa-PT,-0.0
191,Allhaming-AT,Lisboa-PT,-0.0
192,Enns-AT,Lisboa-PT,-0.0
193,Wernberg-AT,Lisboa-PT,0.0
194,Wals-AT,Lisboa-PT,-0.0
195,Hall in Tirol-AT,Lisboa-PT,-0.0
196,Liesing-AT,Lisboa-PT,-0.0
197,Wundschuh-AT,Lisboa-PT,-0.0
198,Hub Wien I-AT,Göteborg-SE,-0.0
199,Hub Wien I-AT,Stockholm - Västberga-SE,-0.0
200,Hub Wien I-AT,Helsingborg-SE,-0.0
201,Hub Wien I-AT,Arlöv-SE,-0.0
202,Hub Wien I-AT,Malmö-SE,-0.0
203,Hub Wien II-AT,Göteborg-SE,-0.0
204,Hub Wien II-AT,Stockholm - Västberga-SE,-0.0
205,Hub Wien II-AT,Helsingborg-SE,-0.0
206,Hub Wien II-AT,Arlöv-SE,-0.0
207,Hub Wien II-AT,Malmö-SE,-0.0
208,Hub Graz-AT,Göteborg-SE,-0.0
209,Hub Graz-AT,Stockholm - Västberga-SE,-0.0
210,Hub Graz-AT,Helsingborg-SE,-0.0
211,Hub Graz-AT,Arlöv-SE,-0.0
212,Hub Graz-AT,Malmö-SE,-0.0
213,Hagenbrunn-AT,Göteborg-SE,-0.0
214,Hagenbrunn-AT,Stockholm - Västberga-SE,-0.0
215,Hagenbrunn-AT,Helsingborg-SE,-0.0
216,Hagenbrunn-AT,Arlöv-SE,-0.0
217,Hagenbrunn-AT,Malmö-SE,-0.0
218,Allhaming-AT,Göteborg-SE,-0.0
219,Allhaming-AT,Stockholm - Västberga-SE,-0.0
220,Allhaming-AT,Helsingborg-SE,-0.0
221,Allhaming-AT,Arlöv-SE,-0.0
222,Allhaming-AT,Malmö-SE,-0.0
223,Enns-AT,Göteborg-SE,-0.0
224,Enns-AT,Stockholm - Västberga-SE,-0.0
225,Enns-AT,Helsingborg-SE,-0.0
226,Enns-AT,Arlöv-SE,-0.0
227,Enns-AT,Malmö-SE,-0.0
228,Wernberg-AT,Göteborg-SE,-0.0
229,Wernberg-AT,Stockholm - Västberga-SE,-0.0
230,Wernberg-AT,Helsingborg-SE,-0.0
231,Wernberg-AT,Arlöv-SE,-0.0
232,Wernberg-AT,Malmö-SE,-0.0
233,Wals-AT,Göteborg-SE,-0.0
234,Wals-AT,Stockholm - Västberga-SE,-0.0
235,Wals-AT,Helsingborg-SE,-0.0
236,Wals-AT,Arlöv-SE,-0.0
237,Wals-AT,Malmö-SE,-0.0
238,Hall in Tirol-AT,Göteborg-SE,-0.0
239,Hall in Tirol-AT,Stockholm - Västberga-SE,-0.0
240,Hall in Tirol-AT,Helsingborg-SE,-0.0
241,Hall in Tirol-AT,Arlöv-SE,-0.0
242,Hall in Tirol-AT,Malmö-SE,-0.0
243,Liesing-AT,Göteborg-SE,-0.0
244,Liesing-AT,Stockholm - Västberga-SE,-0.0
245,Liesing-AT,Helsingborg-SE,-0.0
246,Liesing-AT,Arlöv-SE,-0.0
247,Liesing-AT,Malmö-SE,-0.0
248,Wundschuh-AT,Göteborg-SE,-0.0
249,Wundschuh-AT,Stockholm - Västberga-SE,-0.0
250,Wundschuh-AT,Helsingborg-SE,-0.0
251,Wundschuh-AT,Arlöv-SE,-0.0
252,Wundschuh-AT,Malmö-SE,-0.0
253,Hub Wien I-AT,Ljubljana-SI,269.0
254,Hub Wien II-AT,Ljubljana-SI,-0.0
255,Hub Graz-AT,Ljubljana-SI,-0.0
256,Hagenbrunn-AT,Ljubljana-SI,-0.0
257,Allhaming-AT,Ljubljana-SI,-0.0
258,Enns-AT,Ljubljana-SI,-0.0
259,Wernberg-AT,Ljubljana-SI,0.0
260,Wals-AT,Ljubljana-SI,-0.0
261,Hall in Tirol-AT,Ljubljana-SI,-0.0
262,Liesing-AT,Ljubljana-SI,-0.0
263,Wundschuh-AT,Ljubljana-SI,-0.0
264,Hub Wien I-AT,Zilina- Strecno-SK,-0.0
265,Hub Wien I-AT,Ivanka pri Dunaji-SK,246.0
266,Hub Wien II-AT,Zilina- Strecno-SK,-0.0
267,Hub Wien II-AT,Ivanka pri Dunaji-SK,-0.0
268,Hub Graz-AT,Zilina- Strecno-SK,-0.0
269,Hub Graz-AT,Ivanka pri Dunaji-SK,-0.0
270,Hagenbrunn-AT,Zilina- Strecno-SK,-0.0
271,Hagenbrunn-AT,Ivanka pri Dunaji-SK,-0.0
272,Allhaming-AT,Zilina- Strecno-SK,-0.0
273,Allhaming-AT,Ivanka pri Dunaji-SK,0.0
274,Enns-AT,Zilina- Strecno-SK,-0.0
275,Enns-AT,Ivanka pri Dunaji-SK,-0.0
276,Wernberg-AT,Zilina- Strecno-SK,-0.0
277,Wernberg-AT,Ivanka pri Dunaji-SK,-0.0
278,Wals-AT,Zilina- Strecno-SK,-0.0
279,Wals-AT,Ivanka pri Dunaji-SK,-0.0
280,Hall in Tirol-AT,Zilina- Strecno-SK,-0.0
281,Hall in Tirol-AT,Ivanka pri Dunaji-SK,-0.0
282,Liesing-AT,Zilina- Strecno-SK,-0.0
283,Liesing-AT,Ivanka pri Dunaji-SK,-0.0
284,Wundschuh-AT,Zilina- Strecno-SK,-0.0
285,Wundschuh-AT,Ivanka pri Dunaji-SK,-0.0
286,Hub Wien I-AT,Brüssel-BE,-0.0
287,Hub Wien II-AT,Brüssel-BE,-0.0
288,Hub Graz-AT,Brüssel-BE,-0.0
289,Hagenbrunn-AT,Brüssel-BE,-0.0
290,Allhaming-AT,Brüssel-BE,-0.0
291,Enns-AT,Brüssel-BE,-0.0
292,Wernberg-AT,Brüssel-BE,-0.0
293,Wals-AT,Brüssel-BE,-0.0
294,Hall in Tirol-AT,Brüssel-BE,-0.0
295,Liesing-AT,Brüssel-BE,-0.0
296,Wundschuh-AT,Brüssel-BE,-0.0
297,Hub Wien I-AT,Bettembourg-LU,-0.0
298,Hub Wien II-AT,Bettembourg-LU,-0.0
299,Hub Graz-AT,Bettembourg-LU,-0.0
300,Hagenbrunn-AT,Bettembourg-LU,-0.0
301,Allhaming-AT,Bettembourg-LU,-0.0
302,Enns-AT,Bettembourg-LU,-0.0
303,Wernberg-AT,Bettembourg-LU,-0.0
304,Wals-AT,Bettembourg-LU,-0.0
305,Hall in Tirol-AT,Bettembourg-LU,-0.0
306,Liesing-AT,Bettembourg-LU,-0.0
307,Wundschuh-AT,Bettembourg-LU,-0.0
308,Hub Wien I-AT,Oslo-NO,-0.0
309,Hub Wien II-AT,Oslo-NO,-0.0
310,Hub Graz-AT,Oslo-NO,-0.0
311,Hagenbrunn-AT,Oslo-NO,-0.0
312,Allhaming-AT,Oslo-NO,-0.0
313,Enns-AT,Oslo-NO,-0.0
314,Wernberg-AT,Oslo-NO,-0.0
315,Wals-AT,Oslo-NO,-0.0
316,Hall in Tirol-AT,Oslo-NO,-0.0
317,Liesing-AT,Oslo-NO,-0.0
318,Wundschuh-AT,Oslo-NO,-0.0
319,Hub Wien I-AT,Oradea-RO,85.0
320,Hub Wien II-AT,Oradea-RO,-0.0
321,Hub Graz-AT,Oradea-RO,-0.0
322,Hagenbrunn-AT,Oradea-RO,-0.0
323,Allhaming-AT,Oradea-RO,-0.0
324,Enns-AT,Oradea-RO,-0.0
325,Wernberg-AT,Oradea-RO,-0.0
326,Wals-AT,Oradea-RO,834.0
327,Hall in Tirol-AT,Oradea-RO,-0.0
328,Liesing-AT,Oradea-RO,-0.0
329,Wundschuh-AT,Oradea-RO,-0.0
330,Brüssel-BE,Eindhoven-Noord-NL,198.0
331,Brüssel-BE,Zaltbommel-NL,-0.0
332,Brüssel-BE,Bettembourg-LU,0.0
333,Brüssel-BE,Oslo-NO,-0.0
334,Brüssel-BE,Oradea-RO,-0.0
335,Sofia-BG,Brno-CZ,-0.0
336,Sofia-BG,Ostrava-CZ,-0.0
337,Sofia-BG,Krupka 1-CZ,-0.0
338,Sofia-BG,Plzen 1-CZ,-0.0
339,Sofia-BG,Hradec Kralove - Brezhrad-CZ,-0.0
340,Sofia-BG,Ricany -CZ,-0.0
341,Sofia-BG,Zlin-CZ,-0.0
342,Sofia-BG,Olomouc-CZ,-0.0
343,Sofia-BG,Eindhoven-Noord-NL,-0.0
344,Sofia-BG,Zaltbommel-NL,-0.0
345,Sofia-BG,Suwałki (Ełk)-PL,-0.0
346,Sofia-BG,Poznań-PL,-0.0
347,Sofia-BG,Zabrze-PL,-0.0
348,Sofia-BG,Koninko-PL,-0.0
349,Sofia-BG,Wrocław-PL,59.0
350,Sofia-BG,Bydgoszcz (Solec Kujawski)-PL,-0.0
351,Sofia-BG,Kolding-DK,-0.0
352,Sofia-BG,Combs la ville-FR,-0.0
353,Sofia-BG,Slough-GB,-0.0
354,Sofia-BG,Ryton Gateway-GB,-0.0
355,Sofia-BG,Spata-GR,-0.0
356,Sofia-BG,Zagreb-HR,-0.0
357,Sofia-BG,Budapest OLK-HU,511.0
358,Sofia-BG,Budapest NPKK (OE)-HU,-0.0
359,Sofia-BG,Portlaoise-IE,-0.0
360,Sofia-BG,Dublin-IE,-0.0
361,Sofia-BG,Göteborg-SE,-0.0
362,Sofia-BG,Stockholm - Västberga-SE,-0.0
363,Sofia-BG,Helsingborg-SE,-0.0
364,Sofia-BG,Arlöv-SE,-0.0
365,Sofia-BG,Malmö-SE,-0.0
366,Sofia-BG,Ljubljana-SI,-0.0
367,Sofia-BG,Zilina- Strecno-SK,-0.0
368,Sofia-BG,Ivanka pri Dunaji-SK,-0.0
369,Sofia-BG,Brüssel-BE,-0.0
370,Sofia-BG,Bettembourg-LU,-0.0
371,Sofia-BG,Oslo-NO,-0.0
372,Sofia-BG,Oradea-RO,-0.0
373,Brno-CZ,Eindhoven-Noord-NL,-0.0
374,Brno-CZ,Zaltbommel-NL,-0.0
375,Ostrava-CZ,Eindhoven-Noord-NL,-0.0
376,Ostrava-CZ,Zaltbommel-NL,-0.0
377,Krupka 1-CZ,Eindhoven-Noord-NL,552.0
378,Krupka 1-CZ,Zaltbommel-NL,-0.0
379,Plzen 1-CZ,Eindhoven-Noord-NL,-0.0
380,Plzen 1-CZ,Zaltbommel-NL,-0.0
381,Hradec Kralove - Brezhrad-CZ,Eindhoven-Noord-NL,-0.0
382,Hradec Kralove - Brezhrad-CZ,Zaltbommel-NL,-0.0
383,Ricany -CZ,Eindhoven-Noord-NL,-0.0
384,Ricany -CZ,Zaltbommel-NL,-0.0
385,Zlin-CZ,Eindhoven-Noord-NL,-0.0
386,Zlin-CZ,Zaltbommel-NL,-0.0
387,Olomouc-CZ,Eindhoven-Noord-NL,-0.0
388,Olomouc-CZ,Zaltbommel-NL,-0.0
389,Brno-CZ,Sofia-BG,-0.0
390,Ostrava-CZ,Sofia-BG,-0.0
391,Krupka 1-CZ,Sofia-BG,-0.0
