,0,1,2
109,Hub Wien II-AT,PZ 46 (Dorsten)-DE,-0.0
110,Hub Wien II-AT,PZ 58 (Hagen)-DE,-0.0
111,Hub Wien II-AT,PZ 08 (Neumark)-DE,-0.0
112,Hub Wien II-AT,PZ 47 (Krefeld)-DE,-0.0
113,Hub Wien II-AT,PZ 15 (Rüdersdorf)-DE,-0.0
114,Hub Wien II-AT,PZ 24 (Neumünster)-DE,-0.0
115,Hub Wien II-AT,PZ 44 (Bochum) [im Bau]-DE,-0.0
116,Hub Graz-AT,PZ 67 (Speyer)-DE,-0.0
117,Hub Graz-AT,PZ 50 (Köln)-DE,-0.0
118,Hub Graz-AT,PZ 04 (Radefeld/Leipzig)-DE,-0.0
119,Hub Graz-AT,PZ 90 (Feucht/Nürnberg)-DE,-0.0
120,Hub Graz-AT,PZ 77 (Lahr)-DE,-0.0
121,Hub Graz-AT,PZ 93 (Regensburg)-DE,-0.0
122,Hub Graz-AT,PZ 21 (Hamburg)-DE,-0.0
123,Hub Graz-AT,PZ 46 (Dorsten)-DE,-0.0
124,Hub Graz-AT,PZ 58 (Hagen)-DE,-0.0
125,Hub Graz-AT,PZ 08 (Neumark)-DE,-0.0
126,Hub Graz-AT,PZ 47 (Krefeld)-DE,-0.0
127,Hub Graz-AT,PZ 15 (Rüdersdorf)-DE,-0.0
128,Hub Graz-AT,PZ 24 (Neumünster)-DE,-0.0
129,Hub Graz-AT,PZ 44 (Bochum) [im Bau]-DE,-0.0
130,Hagenbrunn-AT,PZ 67 (Speyer)-DE,-0.0
131,Hagenbrunn-AT,PZ 50 (Köln)-DE,-0.0
132,Hagenbrunn-AT,PZ 04 (Radefeld/Leipzig)-DE,-0.0
133,Hagenbrunn-AT,PZ 90 (Feucht/Nürnberg)-DE,-0.0
134,Hagenbrunn-AT,PZ 77 (Lahr)-DE,-0.0
135,Hagenbrunn-AT,PZ 93 (Regensburg)-DE,-0.0
136,Hagenbrunn-AT,PZ 21 (Hamburg)-DE,-0.0
137,Hagenbrunn-AT,PZ 46 (Dorsten)-DE,-0.0
138,Hagenbrunn-AT,PZ 58 (Hagen)-DE,-0.0
139,Hagenbrunn-AT,PZ 08 (Neumark)-DE,-0.0
140,Hagenbrunn-AT,PZ 47 (Krefeld)-DE,-0.0
141,Hagenbrunn-AT,PZ 15 (Rüdersdorf)-DE,-0.0
142,Hagenbrunn-AT,PZ 24 (Neumünster)-DE,-0.0
143,Hagenbrunn-AT,PZ 44 (Bochum) [im Bau]-DE,-0.0
144,Allhaming-AT,PZ 67 (Speyer)-DE,-0.0
145,Allhaming-AT,PZ 50 (Köln)-DE,-0.0
146,Allhaming-AT,PZ 04 (Radefeld/Leipzig)-DE,-0.0
147,Allhaming-AT,PZ 90 (Feucht/Nürnberg)-DE,-0.0
148,Allhaming-AT,PZ 77 (Lahr)-DE,-0.0
149,Allhaming-AT,PZ 93 (Regensburg)-DE,-0.0
150,Allhaming-AT,PZ 21 (Hamburg)-DE,-0.0
151,Allhaming-AT,PZ 46 (Dorsten)-DE,-0.0
152,Allhaming-AT,PZ 58 (Hagen)-DE,-0.0
153,Allhaming-AT,PZ 08 (Neumark)-DE,-0.0
154,Allhaming-AT,PZ 47 (Krefeld)-DE,-0.0
155,Allhaming-AT,PZ 15 (Rüdersdorf)-DE,-0.0
156,Allhaming-AT,PZ 24 (Neumünster)-DE,-0.0
157,Allhaming-AT,PZ 44 (Bochum) [im Bau]-DE,-0.0
158,Enns-AT,PZ 67 (Speyer)-DE,-0.0
159,Enns-AT,PZ 50 (Köln)-DE,-0.0
160,Enns-AT,PZ 04 (Radefeld/Leipzig)-DE,-0.0
161,Enns-AT,PZ 90 (Feucht/Nürnberg)-DE,-0.0
162,Enns-AT,PZ 77 (Lahr)-DE,-0.0
163,Enns-AT,PZ 93 (Regensburg)-DE,-0.0
164,Enns-AT,PZ 21 (Hamburg)-DE,-0.0
165,Enns-AT,PZ 46 (Dorsten)-DE,-0.0
166,Enns-AT,PZ 58 (Hagen)-DE,-0.0
167,Enns-AT,PZ 08 (Neumark)-DE,-0.0
168,Enns-AT,PZ 47 (Krefeld)-DE,-0.0
169,Enns-AT,PZ 15 (Rüdersdorf)-DE,-0.0
170,Enns-AT,PZ 24 (Neumünster)-DE,-0.0
171,Enns-AT,PZ 44 (Bochum) [im Bau]-DE,-0.0
172,Wernberg-AT,PZ 67 (Speyer)-DE,-0.0
173,Wernberg-AT,PZ 50 (Köln)-DE,-0.0
174,Wernberg-AT,PZ 04 (Radefeld/Leipzig)-DE,-0.0
175,Wernberg-AT,PZ 90 (Feucht/Nürnberg)-DE,-0.0
176,Wernberg-AT,PZ 77 (Lahr)-DE,-0.0
177,Wernberg-AT,PZ 93 (Regensburg)-DE,-0.0
178,Wernberg-AT,PZ 21 (Hamburg)-DE,-0.0
179,Wernberg-AT,PZ 46 (Dorsten)-DE,-0.0
180,Wernberg-AT,PZ 58 (Hagen)-DE,-0.0
181,Wernberg-AT,PZ 08 (Neumark)-DE,-0.0
182,Wernberg-AT,PZ 47 (Krefeld)-DE,-0.0
183,Wernberg-AT,PZ 15 (Rüdersdorf)-DE,-0.0
184,Wernberg-AT,PZ 24 (Neumünster)-DE,-0.0
185,Wernberg-AT,PZ 44 (Bochum) [im Bau]-DE,-0.0
186,Wals-AT,PZ 67 (Speyer)-DE,-0.0
187,Wals-AT,PZ 50 (Köln)-DE,-0.0
188,Wals-AT,PZ 04 (Radefeld/Leipzig)-DE,-0.0
189,Wals-AT,PZ 90 (Feucht/Nürnberg)-DE,-0.0
190,Wals-AT,PZ 77 (Lahr)-DE,-0.0
191,Wals-AT,PZ 93 (Regensburg)-DE,1.0
192,Wals-AT,PZ 21 (Hamburg)-DE,-0.0
193,Wals-AT,PZ 46 (Dorsten)-DE,-0.0
194,Wals-AT,PZ 58 (Hagen)-DE,-0.0
195,Wals-AT,PZ 08 (Neumark)-DE,-0.0
196,Wals-AT,PZ 47 (Krefeld)-DE,-0.0
197,Wals-AT,PZ 15 (Rüdersdorf)-DE,-0.0
198,Wals-AT,PZ 24 (Neumünster)-DE,-0.0
199,Wals-AT,PZ 44 (Bochum) [im Bau]-DE,-0.0
200,Hall in Tirol-AT,PZ 67 (Speyer)-DE,-0.0
201,Hall in Tirol-AT,PZ 50 (Köln)-DE,-0.0
202,Hall in Tirol-AT,PZ 04 (Radefeld/Leipzig)-DE,-0.0
203,Hall in Tirol-AT,PZ 90 (Feucht/Nürnberg)-DE,-0.0
204,Hall in Tirol-AT,PZ 77 (Lahr)-DE,-0.0
205,Hall in Tirol-AT,PZ 93 (Regensburg)-DE,-0.0
206,Hall in Tirol-AT,PZ 21 (Hamburg)-DE,-0.0
207,Hall in Tirol-AT,PZ 46 (Dorsten)-DE,-0.0
208,Hall in Tirol-AT,PZ 58 (Hagen)-DE,-0.0
209,Hall in Tirol-AT,PZ 08 (Neumark)-DE,-0.0
210,Hall in Tirol-AT,PZ 47 (Krefeld)-DE,-0.0
211,Hall in Tirol-AT,PZ 15 (Rüdersdorf)-DE,-0.0
212,Hall in Tirol-AT,PZ 24 (Neumünster)-DE,-0.0
213,Hall in Tirol-AT,PZ 44 (Bochum) [im Bau]-DE,-0.0
214,Liesing-AT,PZ 67 (Speyer)-DE,-0.0
215,Liesing-AT,PZ 50 (Köln)-DE,-0.0
216,Liesing-AT,PZ 04 (Radefeld/Leipzig)-DE,-0.0
217,Liesing-AT,PZ 90 (Feucht/Nürnberg)-DE,-0.0
218,Liesing-AT,PZ 77 (Lahr)-DE,-0.0
219,Liesing-AT,PZ 93 (Regensburg)-DE,-0.0
220,Liesing-AT,PZ 21 (Hamburg)-DE,-0.0
221,Liesing-AT,PZ 46 (Dorsten)-DE,-0.0
222,Liesing-AT,PZ 58 (Hagen)-DE,-0.0
223,Liesing-AT,PZ 08 (Neumark)-DE,-0.0
224,Liesing-AT,PZ 47 (Krefeld)-DE,-0.0
225,Liesing-AT,PZ 15 (Rüdersdorf)-DE,-0.0
226,Liesing-AT,PZ 24 (Neumünster)-DE,-0.0
227,Liesing-AT,PZ 44 (Bochum) [im Bau]-DE,-0.0
228,Wundschuh-AT,PZ 67 (Speyer)-DE,-0.0
229,Wundschuh-AT,PZ 50 (Köln)-DE,-0.0
230,Wundschuh-AT,PZ 04 (Radefeld/Leipzig)-DE,-0.0
231,Wundschuh-AT,PZ 90 (Feucht/Nürnberg)-DE,-0.0
232,Wundschuh-AT,PZ 77 (Lahr)-DE,-0.0
233,Wundschuh-AT,PZ 93 (Regensburg)-DE,-0.0
234,Wundschuh-AT,PZ 21 (Hamburg)-DE,-0.0
235,Wundschuh-AT,PZ 46 (Dorsten)-DE,-0.0
236,Wundschuh-AT,PZ 58 (Hagen)-DE,-0.0
237,Wundschuh-AT,PZ 08 (Neumark)-DE,-0.0
238,Wundschuh-AT,PZ 47 (Krefeld)-DE,-0.0
239,Wundschuh-AT,PZ 15 (Rüdersdorf)-DE,-0.0
240,Wundschuh-AT,PZ 24 (Neumünster)-DE,-0.0
241,Wundschuh-AT,PZ 44 (Bochum) [im Bau]-DE,-0.0
242,Hub Wien I-AT,Eindhoven-Noord-NL,-0.0
243,Hub Wien I-AT,Zaltbommel-NL,-0.0
244,Hub Wien II-AT,Eindhoven-Noord-NL,-0.0
245,Hub Wien II-AT,Zaltbommel-NL,-0.0
246,Hub Graz-AT,Eindhoven-Noord-NL,-0.0
247,Hub Graz-AT,Zaltbommel-NL,-0.0
248,Hagenbrunn-AT,Eindhoven-Noord-NL,-0.0
249,Hagenbrunn-AT,Zaltbommel-NL,-0.0
250,Allhaming-AT,Eindhoven-Noord-NL,-0.0
251,Allhaming-AT,Zaltbommel-NL,-0.0
252,Enns-AT,Eindhoven-Noord-NL,-0.0
253,Enns-AT,Zaltbommel-NL,-0.0
254,Wernberg-AT,Eindhoven-Noord-NL,-0.0
255,Wernberg-AT,Zaltbommel-NL,-0.0
256,Wals-AT,Eindhoven-Noord-NL,-0.0
257,Wals-AT,Zaltbommel-NL,-0.0
258,Hall in Tirol-AT,Eindhoven-Noord-NL,-0.0
259,Hall in Tirol-AT,Zaltbommel-NL,-0.0
260,Liesing-AT,Eindhoven-Noord-NL,-0.0
261,Liesing-AT,Zaltbommel-NL,-0.0
262,Wundschuh-AT,Eindhoven-Noord-NL,-0.0
263,Wundschuh-AT,Zaltbommel-NL,-0.0
264,Hub Wien I-AT,Suwałki (Ełk)-PL,-0.0
265,Hub Wien I-AT,Poznań-PL,-0.0
266,Hub Wien I-AT,Zabrze-PL,-0.0
267,Hub Wien I-AT,Koninko-PL,-0.0
268,Hub Wien I-AT,Wrocław-PL,-0.0
269,Hub Wien I-AT,Bydgoszcz (Solec Kujawski)-PL,-0.0
270,Hub Wien II-AT,Suwałki (Ełk)-PL,-0.0
271,Hub Wien II-AT,Poznań-PL,-0.0
272,Hub Wien II-AT,Zabrze-PL,0.0
273,Hub Wien II-AT,Koninko-PL,-0.0
274,Hub Wien II-AT,Wrocław-PL,-0.0
275,Hub Wien II-AT,Bydgoszcz (Solec Kujawski)-PL,-0.0
276,Hub Graz-AT,Suwałki (Ełk)-PL,-0.0
277,Hub Graz-AT,Poznań-PL,-0.0
278,Hub Graz-AT,Zabrze-PL,-0.0
279,Hub Graz-AT,Koninko-PL,-0.0
280,Hub Graz-AT,Wrocław-PL,-0.0
281,Hub Graz-AT,Bydgoszcz (Solec Kujawski)-PL,-0.0
282,Hagenbrunn-AT,Suwałki (Ełk)-PL,-0.0
283,Hagenbrunn-AT,Poznań-PL,-0.0
284,Hagenbrunn-AT,Zabrze-PL,1.0
285,Hagenbrunn-AT,Koninko-PL,-0.0
286,Hagenbrunn-AT,Wrocław-PL,-0.0
