,0,1,2,3
115,Hub Wien I-AT,Madrid-ES,2 Swap Bodies,0
116,Hub Wien I-AT,Madrid-ES,Swap Body,0
117,Hub Wien I-AT,Madrid-ES,Trailer,0
118,Hub Wien I-AT,Madrid-ES,Van,0
119,Hub Wien I-AT,Madrid-ES,Co-loading,0
120,Hub Wien I-AT,Araba (Vitoria)-ES,2 Swap Bodies,0
121,Hub Wien I-AT,Araba (Vitoria)-ES,Swap Body,0
122,Hub Wien I-AT,Araba (Vitoria)-ES,Trailer,0
123,Hub Wien I-AT,Araba (Vitoria)-ES,Van,0
124,Hub Wien I-AT,Araba (Vitoria)-ES,Co-loading,0
125,Hub Wien II-AT,Barcelona-ES,2 Swap Bodies,0
126,Hub Wien II-AT,Barcelona-ES,Swap Body,0
127,Hub Wien II-AT,Barcelona-ES,Trailer,0
128,Hub Wien II-AT,Barcelona-ES,Van,0
129,Hub Wien II-AT,Barcelona-ES,Co-loading,0
130,Hub Wien II-AT,Madrid-ES,2 Swap Bodies,0
131,Hub Wien II-AT,Madrid-ES,Swap Body,0
132,Hub Wien II-AT,Madrid-ES,Trailer,0
133,Hub Wien II-AT,Madrid-ES,Van,0
134,Hub Wien II-AT,Madrid-ES,Co-loading,0
135,Hub Wien II-AT,Araba (Vitoria)-ES,2 Swap Bodies,0
136,Hub Wien II-AT,Araba (Vitoria)-ES,Swap Body,0
137,Hub Wien II-AT,Araba (Vitoria)-ES,Trailer,0
138,Hub Wien II-AT,Araba (Vitoria)-ES,Van,0
139,Hub Wien II-AT,Araba (Vitoria)-ES,Co-loading,0
140,Hub Graz-AT,Barcelona-ES,2 Swap Bodies,0
141,Hub Graz-AT,Barcelona-ES,Swap Body,0
142,Hub Graz-AT,Barcelona-ES,Trailer,0
143,Hub Graz-AT,Barcelona-ES,Van,0
144,Hub Graz-AT,Barcelona-ES,Co-loading,0
145,Hub Graz-AT,Madrid-ES,2 Swap Bodies,0
146,Hub Graz-AT,Madrid-ES,Swap Body,0
147,Hub Graz-AT,Madrid-ES,Trailer,0
148,Hub Graz-AT,Madrid-ES,Van,0
