,Origin,Destination,Average
52,DE,GB,100658.7
107,FL,SE,116233.8062
172,PL,CZ,128337.2333
0,AT,CZ,146713.0924
33,CZ,DE,199103.3333
242,SK,CZ,201433.6908
60,DE,NL,280731.2
114,GB,DE,471879.5
173,PL,DE,777502.0667
1,AT,DE,932495.291
149,NL,DE,1433385.333
