Department,Origin Hub,Destination Hub,,Origin Hub-Country,Destination Hub-Country
FRT,Frankfurt,Poznań,,Frankfurt-DE,Poznań-PL
FRT,Eindhoven,PZ 58 (Hagen),,Eindhoven-NL,PZ 58 (Hagen)-DE
FRT,Frankfurt,Helsingborg,,Frankfurt-DE,Helsingborg-SE
FRT,Worms,Frankfurt,,Worms-DE,Frankfurt-DE
FRT,Worms,Vantaa (Helsinki),,Worms-DE,Vantaa (Helsinki)-FI
FRT,Worms,Munich,,Worms-DE,Munich-DE
FRT,Worms,Praha - Reporyje,,Worms-DE,Praha - Reporyje-CZ
DPI,Bethel,Frankfurt,,Bethel-LU,Frankfurt-DE
DPI,Bethel,PZ 50 (Köln),,Bethel-LU,PZ 50 (Köln)-DE
DPI,Bonaire,Frankfurt,,Bonaire-DE,Frankfurt-DE
DPI,Paris,Frankfurt,,Paris-FR,Frankfurt-DE
DPI,PZ 50 (Köln),Bethel,,PZ 50 (Köln)-DE,Bethel-LU
DPI,PZ 50 (Köln),Frankfurt,,PZ 50 (Köln)-DE,Frankfurt-DE
DPI,Coventry - Baginton,PZ 50 (Köln),,Coventry - Baginton-GB,PZ 50 (Köln)-DE
DPI,Duisburg,Frankfurt,,Duisburg-DE,Frankfurt-DE
DPI,Eindhoven,Frankfurt,,Eindhoven-NL,Frankfurt-DE
DPI,Frankfurt,Malmö,,Frankfurt-DE,Malmö-SE
DPI,Frankfurt,Praha - Reporyje,,Frankfurt-DE,Praha - Reporyje-CZ
DPI,Frankfurt,Bethel,,Frankfurt-DE,Bethel-LU
DPI,Frankfurt,Milan,,Frankfurt-DE,Milan-IT
DPI,Frankfurt,Dublin,,Frankfurt-DE,Dublin-IE
DPI,Frankfurt,Madrid,,Frankfurt-DE,Madrid-ES
DPI,Frankfurt,PZ 50 (Köln),,Frankfurt-DE,PZ 50 (Köln)-DE
DPI,Frankfurt,Warszawa,,Frankfurt-DE,Warszawa-PL
DPI,Frankfurt,Munich,,Frankfurt-DE,Munich-DE
DPI,Frankfurt,Paris,,Frankfurt-DE,Paris-FR
DPI,Frankfurt,Liege,,Frankfurt-DE,Liege-BE
DPI,Green Bay (WI) ,Frankfurt,,Green Bay (WI) -DE,Frankfurt-DE
DPI,PZ 21 (Hamburg),Oslo,,PZ 21 (Hamburg)-DE,Oslo-NO
DPI,PZ 21 (Hamburg),Malmö,,PZ 21 (Hamburg)-DE,Malmö-SE
DPI,Frankfurt,Frankfurt,,Frankfurt-DE,Frankfurt-DE
DPI,Kiel,Malmö,,Kiel-DE,Malmö-SE
DPI,PZ 04 (Radefeld/Leipzig),Berlin,,PZ 04 (Radefeld/Leipzig)-DE,Berlin-DE
DPI,PZ 04 (Radefeld/Leipzig),Kiev,,PZ 04 (Radefeld/Leipzig)-DE,Kiev-UA
DPI,PZ 04 (Radefeld/Leipzig),Warszawa,,PZ 04 (Radefeld/Leipzig)-DE,Warszawa-PL
DPI,PZ 04 (Radefeld/Leipzig),Vilnius,,PZ 04 (Radefeld/Leipzig)-DE,Vilnius-LT
DPI,London,Frankfurt,,London-GB,Frankfurt-DE
DPI,Malmö,PZ 21 (Hamburg),,Malmö-SE,PZ 21 (Hamburg)-DE
DPI,PZ 90 (Feucht/Nürnberg),Sofia,,PZ 90 (Feucht/Nürnberg)-DE,Sofia-BG
DPI,PZ 90 (Feucht/Nürnberg),Oradea,,PZ 90 (Feucht/Nürnberg)-DE,Oradea-RO
DPI,PZ 90 (Feucht/Nürnberg),Zagreb,,PZ 90 (Feucht/Nürnberg)-DE,Zagreb-HR
DPI,PZ 90 (Feucht/Nürnberg),Budapest OLK,,PZ 90 (Feucht/Nürnberg)-DE,Budapest OLK-HU
DPI,PZ 90 (Feucht/Nürnberg),Istanbul,,PZ 90 (Feucht/Nürnberg)-DE,Istanbul-TR
DPI,Praha - Reporyje,Frankfurt,,Praha - Reporyje-CZ,Frankfurt-DE
DPI,Zagreb,PZ 90 (Feucht/Nürnberg),,Zagreb-HR,PZ 90 (Feucht/Nürnberg)-DE
NL Euronet CGN,Hürth,Eindhoven,,Hürth-DE,Eindhoven-NL
NL Euronet CGN,Eindhoven,Ryton Gateway,,Eindhoven-NL,Ryton Gateway-GB
NL Euronet CGN,Eindhoven,Paris,,Eindhoven-NL,Paris-FR
NL Euronet CGN,Zaltbommel,Hürth,,Zaltbommel-NL,Hürth-DE
NL Euronet CGN,Zaltbommel,Ryton Gateway,,Zaltbommel-NL,Ryton Gateway-GB
NL Euronet CGN,Zaltbommel,Paris,,Zaltbommel-NL,Paris-FR
NL Euronet CGN,Zaltbommel,Malmö,,Zaltbommel-NL,Malmö-SE
NL Euronet CGN,Zaltbommel,Zaltbommel,,Zaltbommel-NL,Zaltbommel-NL
NL Euronet CGN,Eindhoven,Hürth,,Eindhoven-NL,Hürth-DE
NL Euronet CGN,Zaltbommel,Dortmund,,Zaltbommel-NL,Dortmund-DE
NL Euronet CGN,Zaltbommel,Plzen,,Zaltbommel-NL,Plzen-CZ
NL Euronet CGN,Zaltbommel,Duisburg,,Zaltbommel-NL,Duisburg-DE
NL Euronet CGN,Zaltbommel,PZ 44 (Bochum) [im Bau],,Zaltbommel-NL,PZ 44 (Bochum) [im Bau]-DE
NL Euronet CGN,Ryton Gateway,Eindhoven,,Ryton Gateway-GB,Eindhoven-NL
NL Euronet CGN,Zaltbommel,PZ 47 (Krefeld),,Zaltbommel-NL,PZ 47 (Krefeld)-DE
