,From,To,Truck type,Frequency
90,PZ 50 (Köln)-DE,Dublin-IE,Trailer,6
91,PZ 50 (Köln)-DE,Dublin-IE,Trailer,4
92,Zaltbommel-NL,Dublin-IE,Trailer,3
93,Eindhoven-Noord-NL,Plzen 1-CZ,Trailer,4
94,Eindhoven-Noord-NL,Plzen 1-CZ,Trailer,1
95,Eindhoven-Noord-NL,Ryton Gateway-GB,Trailer,4
96,Eindhoven-Noord-NL,Ryton Gateway-GB,Trailer,1
97,PZ 90 (Feucht/Nürnberg)-DE,Spata-GR,Trailer,5
98,PZ 90 (Feucht/Nürnberg)-DE,Oradea-RO,Trailer,5
99,PZ 90 (Feucht/Nürnberg)-DE,Budapest NPKK (OE)-HU,Trailer,5
100,PZ 90 (Feucht/Nürnberg)-DE,Sofia-BG,Trailer,5
101,PZ 67 (Speyer)-DE,Barcelona-ES,Trailer,6
102,PZ 67 (Speyer)-DE,Barcelona-ES,Trailer,5
103,PZ 67 (Speyer)-DE,Barcelona-ES,Trailer,5
104,PZ 67 (Speyer)-DE,Madrid-ES,Trailer,6
105,PZ 67 (Speyer)-DE,Madrid-ES,Trailer,5
106,PZ 67 (Speyer)-DE,Madrid-ES,Trailer,5
107,PZ 67 (Speyer)-DE,Lisboa-PT,Trailer,3
108,PZ 77 (Lahr)-DE,Combs la ville-FR,Trailer,2
109,PZ 90 (Feucht/Nürnberg)-DE,Zagreb-HR,Van,5
110,PZ 90 (Feucht/Nürnberg)-DE,Zagreb-HR,Van,5
111,PZ 90 (Feucht/Nürnberg)-DE,Zagreb-HR,Van,6
112,PZ 90 (Feucht/Nürnberg)-DE,Zagreb-HR,Van,5
113,PZ 90 (Feucht/Nürnberg)-DE,Zagreb-HR,Van,5
114,PZ 90 (Feucht/Nürnberg)-DE,Zagreb-HR,Van,1
115,PZ 93 (Regensburg)-DE,Ljubljana-SI,Trailer,5
116,PZ 93 (Regensburg)-DE,Ivanka pri Dunaji-SK,Trailer,5
117,PZ 04 (Radefeld/Leipzig)-DE,Krupka 1-CZ,2 swap bodies,5
118,PZ 21 (Hamburg)-DE,Vantaa (Helsinki)-FL,Sea Container,5
119,PZ 21 (Hamburg)-DE,Malmö-SE,Trailer,5
120,PZ 21 (Hamburg)-DE,Oslo-NO,Trailer,5
121,PZ 21 (Hamburg)-DE,Kolding-DK,Trailer,5
122,PZ 04 (Radefeld/Leipzig)-DE,Kaunas-LT,Trailer,5
123,Ljubljana-SI,PZ 90 (Feucht/Nürnberg)-DE,Van,5
124,Zaltbommel-NL,PZ 46 (Dorsten)-DE,2 swap bodies,5
125,Zaltbommel-NL,PZ 46 (Dorsten)-DE,2 swap bodies,5
