,Origin,Dest.,Transit,agg,city,DE,DIRECT,NL,PL,LT,FI,SK,ES,CZ
59,BG,CZ,DE,BGCZ,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,BG,DE,DIRECT,BGDE,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,BG,DK,DE,BGDK,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,BG,EE,"DE
LT",BGEE,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
63,BG,ES,DE,BGES,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,BG,FI,DE,BGFI,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,BG,FR,DE,BGFR,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,BG,GB,DE,BGGB,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,BG,GR,DE,BGGR,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,BG,HR,DE,BGHR,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,BG,HU,DE,BGHU,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,BG,IE,DE,BGIE,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,BG,LT,DE,BGLT,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,BG,LU,DE,BGLU,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,BG,LV,"DE
LT",BGLV,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
74,BG,NL,DE,BGNL,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,BG,NO,,BGNO,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,BG,PL,DE,BGPL,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
