,Origin Country,Destination Country,From,To,Distance,Duration,est_tt
64,AT,CZ,Hub Graz-AT,Olomouc-CZ,410.622,4.066666666666666,7.093333333333332
65,AT,IE,Hub Graz-AT,Dublin-IE,2038.546,22.033333333333335,48.24666666666666
66,AT,AT,Hub Graz-AT,Hall in Tirol-AT,436.896,4.383333333333334,7.536666666666667
67,AT,AT,Hub Graz-AT,Hub Wien II-AT,229.482,2.2666666666666666,4.573333333333332
68,AT,AT,Hub Graz-AT,Liesing-AT,198.265,1.8833333333333333,4.036666666666666
69,AT,AT,Hub Graz-AT,Wals-AT,220.581,2.15,4.41
70,AT,AT,Hub Graz-AT,Wundschuh-AT,1.652,0.06666666666666667,1.4933333333333332
71,AT,AT,Hub Graz-AT,Wernberg-AT,158.555,1.6333333333333333,3.6866666666666665
72,AT,DE,Hub Graz-AT,PZ 44 (Bochum) [im Bau]-DE,950.947,7.916666666666666,12.483333333333333
73,AT,CZ,Hub Graz-AT,Zlin-CZ,421.746,4.15,7.210000000000001
74,AT,AT,Hub Wien I-AT,Hub Graz-AT,198.743,1.9,4.06
75,AT,AT,Hub Wien I-AT,Hub Wien I-AT,0.0,0.0,1.4
76,AT,BE,Hub Wien I-AT,Brüssel-BE,1110.563,9.233333333333333,22.32666666666666
77,AT,BG,Hub Wien I-AT,Sofia-BG,1013.239,9.783333333333333,23.096666666666664
78,AT,CZ,Hub Wien I-AT,Brno-CZ,150.975,1.8166666666666664,3.943333333333333
79,AT,CZ,Hub Wien I-AT,Ostrava-CZ,305.98,3.2,5.879999999999999
80,AT,CZ,Hub Wien I-AT,Krupka 1-CZ,439.767,4.516666666666667,7.723333333333333
81,AT,CZ,Hub Wien I-AT,Plzen 1-CZ,431.305,4.266666666666667,7.373333333333333
82,AT,CZ,Hub Wien I-AT,Hradec Kralove - Brezhrad-CZ,293.2,3.9333333333333336,6.906666666666666
83,AT,DE,Hub Wien I-AT,PZ 67 (Speyer)-DE,723.631,6.233333333333334,10.126666666666667
84,AT,DE,Hub Wien I-AT,PZ 50 (Köln)-DE,903.588,7.483333333333333,11.876666666666667
85,AT,DE,Hub Wien I-AT,PZ 04 (Radefeld/Leipzig)-DE,600.911,5.733333333333333,9.426666666666666
86,AT,DE,Hub Wien I-AT,PZ 90 (Feucht/Nürnberg)-DE,492.341,4.216666666666667,7.303333333333333
87,AT,DE,Hub Wien I-AT,PZ 77 (Lahr)-DE,822.35,6.85,10.989999999999998
88,AT,DE,Hub Wien I-AT,PZ 93 (Regensburg)-DE,395.198,3.4333333333333336,6.206666666666667
89,AT,DE,Hub Wien I-AT,PZ 21 (Hamburg)-DE,978.075,8.733333333333333,21.626666666666665
90,AT,DE,Hub Wien I-AT,PZ 46 (Dorsten)-DE,981.485,8.1,12.739999999999998
91,AT,DE,Hub Wien I-AT,PZ 58 (Hagen)-DE,916.64,7.583333333333333,12.016666666666666
92,AT,DE,Hub Wien I-AT,PZ 08 (Neumark)-DE,629.328,5.45,9.03
93,AT,DE,Hub Wien I-AT,PZ 47 (Krefeld)-DE,966.731,7.933333333333334,12.506666666666666
94,AT,DE,Hub Wien I-AT,PZ 15 (Rüdersdorf)-DE,697.736,6.566666666666666,10.593333333333332
95,AT,DK,Hub Wien I-AT,Kolding-DK,1120.741,12.0,26.199999999999996
96,AT,ES,Hub Wien I-AT,Barcelona-ES,1789.945,15.899999999999999,31.659999999999997
97,AT,ES,Hub Wien I-AT,Madrid-ES,2402.843,21.3,47.22
98,AT,ES,Hub Wien I-AT,Araba (Vitoria)-ES,2065.062,18.45,43.23
99,AT,FL,Hub Wien I-AT,Lieto (Turku)-FL,1951.907,24.333333333333332,51.46666666666666
100,AT,FL,Hub Wien I-AT,Vantaa (Helsinki)-FL,1805.626,23.15,49.809999999999995
101,AT,FR,Hub Wien I-AT,Combs la ville-FR,1243.988,10.6,24.239999999999995
102,AT,GB,Hub Wien I-AT,Slough-GB,1517.492,13.900000000000002,28.86
103,AT,GB,Hub Wien I-AT,Ryton Gateway-GB,1917.902,17.516666666666666,41.923333333333325
104,AT,GR,Hub Wien I-AT,Spata-GR,1724.182,15.866666666666667,31.61333333333333
105,AT,HR,Hub Wien I-AT,Zagreb-HR,360.186,3.4833333333333334,6.2766666666666655
106,AT,HU,Hub Wien I-AT,Budapest OLK-HU,239.671,2.3,4.619999999999999
107,AT,HU,Hub Wien I-AT,Budapest NPKK (OE)-HU,283.564,2.6666666666666665,5.133333333333333
108,AT,IE,Hub Wien I-AT,Portlaoise-IE,2099.781,22.633333333333333,49.086666666666666
109,AT,LT,Hub Wien I-AT,Kaunas-LT,1139.051,11.733333333333333,25.826666666666664
110,AT,LU,Hub Wien I-AT,Bettembourg-LU,930.317,7.816666666666666,12.343333333333332
111,AT,NL,Hub Wien I-AT,Eindhoven-Noord-NL,1065.427,8.816666666666666,21.743333333333332
112,AT,NL,Hub Wien I-AT,Utrecht-West + Centrum-NL,1113.981,9.233333333333333,22.32666666666666
113,AT,NL,Hub Wien I-AT,Zaltbommel-NL,1104.564,9.2,22.279999999999998
