,Unnamed: 0,Ori. ,Dest.,Connect movement,Org. GTW,Dst. GTW,Mo,Tu,We,Th,Fr,Sa,Su,Truck type,index,Frequency,From,To
38,38,NL,GB,Y,Zaltbommel,Ryton,,X,X,X,X,,,Trailer,38,4,Zaltbommel-NL,Ryton Gateway-GB
39,39,NL,GB,Y,Zaltbommel,Ryton,,,,,,X,,Trailer,39,1,Zaltbommel-NL,Ryton Gateway-GB
40,40,NL,GB,Y,EINDHOVEN,Ryton,X,X,X,X,,,,Trailer,40,4,Eindhoven-Noord-NL,Ryton Gateway-GB
41,41,NL,GB,Y,EINDHOVEN,Ryton,,,,,X,,,Trailer,41,1,Eindhoven-Noord-NL,Ryton Gateway-GB
42,42,NL,GB,Y,EINDHOVEN,Ryton,,X,X,X,X,,,Trailer,42,4,Eindhoven-Noord-NL,Ryton Gateway-GB
43,43,NL,GB,Y,EINDHOVEN,Ryton,,,,,,X,,Trailer,43,1,Eindhoven-Noord-NL,Ryton Gateway-GB
44,44,NL,GB,Y,EINDHOVEN,Ryton,,X,X,X,X,,,Trailer,44,4,Eindhoven-Noord-NL,Ryton Gateway-GB
45,45,NL,GB,Y,EINDHOVEN,Ryton,,,,,,X,,Trailer,45,1,Eindhoven-Noord-NL,Ryton Gateway-GB
46,46,NL,PL,Y,EINDHOVEN,Koninko,,X,X,X,X,,,Trailer,46,4,Eindhoven-Noord-NL,Koninko-PL
47,47,NL,PL,Y,EINDHOVEN,Koninko,,,,,,X,,Trailer,47,1,Eindhoven-Noord-NL,Koninko-PL
48,48,NL,PL,Y,EINDHOVEN,Poznań,,X,X,X,X,,,Trailer,48,4,Eindhoven-Noord-NL,Poznań-PL
49,49,NL,PL,Y,EINDHOVEN,Poznań,,,,,,X,,Trailer,49,1,Eindhoven-Noord-NL,Poznań-PL
50,50,NL,SE,Y,EINDHOVEN,ARLÖV,,X,X,X,X,,,Trailer,50,4,Eindhoven-Noord-NL,Arlöv-SE
51,51,NL,SE,Y,EINDHOVEN,ARLÖV,,,,,,X,,Trailer,51,1,Eindhoven-Noord-NL,Arlöv-SE
52,52,NL,SE,Y,EINDHOVEN,ARLÖV,,X,X,X,X,,,Trailer,52,4,Eindhoven-Noord-NL,Arlöv-SE
53,53,NL,SE,Y,EINDHOVEN,ARLÖV,,,,,,X,,Trailer,53,1,Eindhoven-Noord-NL,Arlöv-SE
54,54,PL,LT,Y,Ełk,Kaunas,X,X,X,X,X,,,van,54,5,Suwałki (Ełk)-PL,Kaunas-LT
55,55,PL,DE,Y,Poznań,Rüdersdorf,X,X,X,X,X,,,2 swap bodies,55,5,Poznań-PL,PZ 15 (Rüdersdorf)-DE
56,56,PL,DE,Y,Poznań,Rüdersdorf,X,X,X,X,X,,,2 swap bodies,56,5,Poznań-PL,PZ 15 (Rüdersdorf)-DE
57,57,PL,DE,Y,Poznań,Rüdersdorf,X,X,X,X,X,,,2 swap bodies,57,5,Poznań-PL,PZ 15 (Rüdersdorf)-DE
58,58,PL,CZ,Y,Zabrze,Ostrava,X,X,X,X,X,,,trailer,58,5,Zabrze-PL,Ostrava-CZ
59,59,SE,NO,Y,Göteborg,Oslo,X,X,X,X,,,,trailer,59,4,Göteborg-SE,Oslo-NO
60,60,SE,NO,Y,Göteborg,Oslo,,,,,X,,,trailer,60,1,Göteborg-SE,Oslo-NO
61,61,SE,NO,Y,Göteborg,Oslo,X,X,X,X,X,,,trailer,61,5,Göteborg-SE,Oslo-NO
62,62,SE,FI,Y,Stockholm,Turku (Lieto),X,X,X,X,X,,,trailer,62,5,Stockholm - Västberga-SE,Lieto (Turku)-FI
63,63,SE,FI,Y,Stockholm,Turku (Lieto),X,X,X,X,X,,,trailer,63,5,Stockholm - Västberga-SE,Lieto (Turku)-FI
64,64,SE,NL,Y,Helsingborg,Eindhoven,X,X,X,X,,,,trailer,64,4,Helsingborg-SE,Eindhoven-NL
65,65,SE,NL,Y,Helsingborg,Eindhoven,,,,,,X,,trailer,65,1,Helsingborg-SE,Eindhoven-NL
66,66,FI,SE,Y,Turku (Lieto),Stockholm,,X,X,X,X,,,trailer,66,4,Lieto (Turku)-FI,Stockholm - Västberga-SE
67,67,FI,SE,Y,Turku (Lieto),Stockholm,X,X,X,X,,,,trailer,67,4,Lieto (Turku)-FI,Stockholm - Västberga-SE
68,68,DE,BE,Y,Köln,Brüssel,X,X,X,X,X,,,Trailer,68,5,PZ 50 (Köln)-DE,Brüssel-BE
69,69,DE,BE,Y,Köln,Brüssel,X,X,X,X,X,X,,Trailer,69,6,PZ 50 (Köln)-DE,Brüssel-BE
70,70,DE,BE,Y,Köln,Brüssel,X,X,X,X,X,,,Trailer,70,5,PZ 50 (Köln)-DE,Brüssel-BE
71,71,DE,NL,Y,Dorsten,Zaltbommel,X,X,X,X,X,,,2 swap bodies,71,5,PZ 46 (Dorsten)-DE,Zaltbommel-NL
72,72,DE,NL,Y,Dorsten,Zaltbommel,X,X,X,X,X,,,2 swap bodies,72,5,PZ 46 (Dorsten)-DE,Zaltbommel-NL
73,73,DE,NL,Y,Dorsten,Zaltbommel,X,X,X,X,X,,,2 swap bodies,73,5,PZ 46 (Dorsten)-DE,Zaltbommel-NL
74,74,DE,NL,Y,Dorsten,Zaltbommel,X,X,X,X,X,,,2 swap bodies,74,5,PZ 46 (Dorsten)-DE,Zaltbommel-NL
75,75,DE,NL,Y,Dorsten,Zaltbommel,X,X,X,X,X,,,2 swap bodies,75,5,PZ 46 (Dorsten)-DE,Zaltbommel-NL
76,76,DE,NL,Y,Dorsten,Zaltbommel,X,X,X,X,X,,,2 swap bodies,76,5,PZ 46 (Dorsten)-DE,Zaltbommel-NL
77,77,DE,NL,Y,Dorsten,Zaltbommel,X,X,X,X,X,,,2 swap bodies,77,5,PZ 46 (Dorsten)-DE,Zaltbommel-NL
78,78,DE,NL,Y,Dorsten,Zaltbommel,X,X,X,X,X,,,2 swap bodies,78,5,PZ 46 (Dorsten)-DE,Zaltbommel-NL
79,79,DE,NL,Y,Dorsten,Zaltbommel,X,X,X,X,X,,,2 swap bodies,79,5,PZ 46 (Dorsten)-DE,Zaltbommel-NL
80,80,DE,LU,Y,Köln,Bettembourg,X,X,X,X,X,,,Trailer,80,5,PZ 50 (Köln)-DE,Bettembourg-LU
81,81,DE,LU,Y,Köln,Bettembourg,X,X,X,X,,,,Trailer,81,4,PZ 50 (Köln)-DE,Bettembourg-LU
82,82,DE,LU,Y,Köln,Bettembourg,X,,,,X,,,Trailer,82,2,PZ 50 (Köln)-DE,Bettembourg-LU
83,83,DE,GB,Y,Dorsten,Ryton,,X,X,X,X,X,,Trailer,83,5,PZ 46 (Dorsten)-DE,Ryton Gateway-GB
84,84,DE,GB,Y,Dorsten,Ryton,X,X,X,X,X,,,Trailer,84,5,PZ 46 (Dorsten)-DE,Ryton Gateway-GB
85,85,AT,PL (via CZ),Y,Hagenbrunn,Zabrze,X,X,X,X,X,,,Trailer,85,5,Hagenbrunn-AT,Zabrze-PL
86,86,AT,CZ,Y,Hagenbrunn,Brno,X,X,X,X,X,,,Trailer,86,5,Hagenbrunn-AT,Brno-CZ
87,87,DE,PL,Y,Radefeld,Wroclaw,X,X,X,X,X,,,2 swap bodies,87,5,PZ 04 (Radefeld/Leipzig)-DE,Wrocław-PL
88,88,DE,PL,Y,Radefeld,Koninko,X,X,X,X,X,X,,2 swap bodies,88,6,PZ 04 (Radefeld/Leipzig)-DE,Koninko-PL
89,89,DE,PL,Y,Radefeld,Bydgoszcz,X,,X,,X,,,2 swap bodies,89,3,PZ 04 (Radefeld/Leipzig)-DE,Bydgoszcz (Solec Kujawski)-PL
90,90,DE,IE,Y,Köln,Dublin,X,X,X,X,X,X,,Trailer,90,6,PZ 50 (Köln)-DE,Dublin-IE
91,91,DE,IE,Y,Köln,Dublin,,X,X,X,X,,,Trailer,91,4,PZ 50 (Köln)-DE,Dublin-IE
92,92,NL,IE,Y,Zaltbommel,Dublin,,X,X,X,,,,Trailer,92,3,Zaltbommel-NL,Dublin-IE
93,93,NL,CZ,Y,EINDHOVEN,Plzen,,X,X,X,X,,,Trailer,93,4,Eindhoven-Noord-NL,Plzen-CZ
94,94,NL,CZ,Y,EINDHOVEN,Plzen,,,,,,X,,Trailer,94,1,Eindhoven-Noord-NL,Plzen-CZ
95,95,NL,GB,Y,EINDHOVEN,Ryton,,X,X,X,X,,,Trailer,95,4,Eindhoven-Noord-NL,Ryton Gateway-GB
96,96,NL,GB,Y,EINDHOVEN,Ryton,,,,,,X,,Trailer,96,1,Eindhoven-Noord-NL,Ryton Gateway-GB
97,97,DE,GR,Y,Feucht,Spata,X,X,X,X,X,,,Trailer,97,5,PZ 90 (Feucht/Nürnberg)-DE,Spata-GR
98,98,DE,RO,Y,Feucht,Oradea,,X,X,X,X,X,,Trailer,98,5,PZ 90 (Feucht/Nürnberg)-DE,Oradea-RO
99,99,DE,HU,Y,Feucht,Budapest,,X,X,X,X,X,,Trailer,99,5,PZ 90 (Feucht/Nürnberg)-DE,Budapest NPKK (OE)-HU
100,100,DE,BG,Y,Feucht,Sofia,,X,X,X,X,X,,Trailer,100,5,PZ 90 (Feucht/Nürnberg)-DE,Sofia-BG
101,101,DE,ES,N,Speyer,Barcelona,X,X,X,X,X,X,,Trailer,101,6,PZ 67 (Speyer)-DE,Barcelona-ES
102,102,DE,ES,N,Speyer,Barcelona,,X,X,X,X,X,,Trailer,102,5,PZ 67 (Speyer)-DE,Barcelona-ES
103,103,DE,ES,N,Speyer,Barcelona,,X,X,X,X,X,,Trailer,103,5,PZ 67 (Speyer)-DE,Barcelona-ES
104,104,DE,ES,N,Speyer,Madrid,X,X,X,X,X,X,,Trailer,104,6,PZ 67 (Speyer)-DE,Madrid-ES
105,105,DE,ES,N,Speyer,Madrid,,X,X,X,X,X,,Trailer,105,5,PZ 67 (Speyer)-DE,Madrid-ES
106,106,DE,ES,N,Speyer,Madrid,,X,X,X,X,X,,Trailer,106,5,PZ 67 (Speyer)-DE,Madrid-ES
107,107,DE,PT,N,Speyer,Lisbon,,X,,X,,X,,Trailer,107,3,PZ 67 (Speyer)-DE,Lisboa-PT
108,108,DE,FR,Y,Lahr,COMBS LA VILLE,,X,,,X,,,Trailer,108,2,PZ 77 (Lahr)-DE,COMBS LA VILLE
109,109,DE,HR,Y,Feucht,Zagreb,,X,X,X,X,X,,Van,109,5,PZ 90 (Feucht/Nürnberg)-DE,Zagreb-HR
110,110,DE,HR,Y,Feucht,Zagreb,X,X,X,X,X,,,Van,110,5,PZ 90 (Feucht/Nürnberg)-DE,Zagreb-HR
111,111,DE,HR,Y,Feucht,Zagreb,X,X,X,X,X,X,,Van,111,6,PZ 90 (Feucht/Nürnberg)-DE,Zagreb-HR
112,112,DE,HR,Y,Feucht,Zagreb,,X,X,X,X,X,,Van,112,5,PZ 90 (Feucht/Nürnberg)-DE,Zagreb-HR
113,113,DE,HR,Y,Feucht,Zagreb,,X,X,X,X,X,,Van,113,5,PZ 90 (Feucht/Nürnberg)-DE,Zagreb-HR
114,114,DE,HR,Y,Feucht,Zagreb,,,,,,X,,Van,114,1,PZ 90 (Feucht/Nürnberg)-DE,Zagreb-HR
115,115,DE,SI,Y,Regensburg,Ljubljana,X,X,X,X,X,,,Trailer,115,5,PZ 93 (Regensburg)-DE,Ljubljana-SI
116,116,DE,SK,Y,Regensburg,Ivanka pri Dunaji,X,X,X,X,X,,,Trailer,116,5,PZ 93 (Regensburg)-DE,Ivanka pri Dunaji-SK
117,117,DE,CZ,Y,Radefeld,Krupka,X,X,X,X,X,,,2 swap bodies,117,5,PZ 04 (Radefeld/Leipzig)-DE,Krupka 1-CZ
118,118,DE,FI,Y,Hamburg,Vantaa,X,X,X,X,X,,,Sea Container,118,5,PZ 21 (Hamburg)-DE,Vantaa (Helsinki)-FI
119,119,DE,SE,Y,Hamburg,Malmö,X,X,X,X,X,,,Trailer,119,5,PZ 21 (Hamburg)-DE,Malmö-SE
120,120,DE,NO,Y,Hamburg,Oslo,X,X,X,X,X,,,Trailer,120,5,PZ 21 (Hamburg)-DE,Oslo-NO
121,121,DE,DK,Y,Hamburg,Kolding,X,X,X,X,X,,,Trailer,121,5,PZ 21 (Hamburg)-DE,Kolding-DK
122,122,DE,LT,Y,Radefeld,Kaunas,X,X,X,X,X,,,Trailer,122,5,PZ 04 (Radefeld/Leipzig)-DE,Kaunas-LT
123,123,SI,DE,Y,Ljubljana,Feucht,,X,X,X,X,X,,Van,123,5,Ljubljana-SI,PZ 90 (Feucht/Nürnberg)-DE
124,124,NL,DE,Y,Zaltbommel,Dorsten,X,X,X,X,X,,,2 swap bodies,124,5,Zaltbommel-NL,PZ 46 (Dorsten)-DE
125,125,NL,DE,Y,Zaltbommel,Dorsten,X,X,X,X,X,,,2 swap bodies,125,5,Zaltbommel-NL,PZ 46 (Dorsten)-DE
126,126,NL,DE,Y,Zaltbommel,Dorsten,X,X,X,X,X,,,2 swap bodies,126,5,Zaltbommel-NL,PZ 46 (Dorsten)-DE
127,127,NL,DE,Y,Zaltbommel,Dorsten,X,X,X,X,X,,,2 swap bodies,127,5,Zaltbommel-NL,PZ 46 (Dorsten)-DE
128,128,NL,DE,Y,Zaltbommel,Dorsten,X,X,X,X,X,,,2 swap bodies,128,5,Zaltbommel-NL,PZ 46 (Dorsten)-DE
129,129,NL,DE,Y,Zaltbommel,Dorsten,X,X,X,X,X,,,2 swap bodies,129,5,Zaltbommel-NL,PZ 46 (Dorsten)-DE
130,130,NL,DE,Y,Zaltbommel,Dorsten,X,X,X,X,X,,,2 swap bodies,130,5,Zaltbommel-NL,PZ 46 (Dorsten)-DE
131,131,NL,DE,Y,Zaltbommel,Dorsten,X,X,X,X,X,,,2 swap bodies,131,5,Zaltbommel-NL,PZ 46 (Dorsten)-DE
132,132,DE,GB,Y,Dorsten,Ryton,,X,X,X,X,X,,Trailer,132,5,PZ 46 (Dorsten)-DE,Ryton Gateway-GB
133,133,DE,GB,Y,Dorsten,Ryton,X,X,X,X,X,X,,Trailer,133,6,PZ 46 (Dorsten)-DE,Ryton Gateway-GB
134,134,DE,GB,Y,Dorsten,Ryton,X,X,X,X,X,,,Trailer,134,5,PZ 46 (Dorsten)-DE,Ryton Gateway-GB
135,135,AT,DE,Y,Wien 1,Regensburg,X,X,X,X,X,,,2 swap bodies,135,5,Hub Wien I-AT,PZ 93 (Regensburg)-DE
136,136,AT,DE,Y,Wien 1,Regensburg,X,X,X,X,X,,,2 swap bodies,136,5,Hub Wien I-AT,PZ 93 (Regensburg)-DE
137,137,AT,DE,Y,Hagenbrunn,Regensburg,X,X,X,X,X,,,2 swap bodies,137,5,Hagenbrunn-AT,PZ 93 (Regensburg)-DE
