,Unnamed: 0,Ori. ,Dest.,Connect movement,Org. GTW,Dst. GTW,Mo,Tu,We,Th,Fr,Sa,Su,Truck type,index,Frequency,From,To
185,185,CZ,SK,Y,Ostrava,Strečno,X,X,X,X,X,,,Cargo 50 m3,185,5,Ostrava-CZ,Zilina- Strecno-SK
186,186,CZ,SK,Y,Ostrava,Strečno,X,X,X,X,X,,,Cargo 50 m3,186,5,Ostrava-CZ,Zilina- Strecno-SK
187,187,CZ,SK,Y,Ostrava,Strečno,X,X,X,X,X,,,Van 22m3,187,5,Ostrava-CZ,Zilina- Strecno-SK
188,188,CZ,SK,Y,Ricany - Jazlovice,Ivanka pri Dunaji,X,X,X,X,X,,,4 swap bodies,188,5,Ricany - Jazlovice-CZ,Ivanka pri Dunaji-SK
189,189,CZ,SK,Y,Zlin,Strečno,X,X,X,X,X,,,Van 15 m3,189,5,Zlin-CZ,Zilina- Strecno-SK
190,190,SK,CZ,Y,Ivanka pri Dunaji,Ricany - Jazlovice,X,X,X,X,X,,,Trailer,190,5,Ivanka pri Dunaji-SK,Ricany - Jazlovice-CZ
191,191,CZ,HU,Y,Brno,OLK,X,X,X,X,X,,,Van 15 m3,191,5,Brno-CZ,Budapest OLK-HU
192,192,HU,DE,Y,Budapest NPKK (OE),Regensburg,X,X,X,X,X,X,,Van,192,6,Budapest NPKK (OE),PZ 93 (Regensburg)-DE
193,193,SE,DE,Y,Helsingborg,Neumünster,,X,X,X,X,X,,Trailer,193,5,Helsingborg-SE,PZ 24 (Neumünster)-DE
194,194,LT,DE,Y,Kaunas,Radefeld,X,X,X,,,X,,Trailer,194,4,Kaunas-LT,PZ 04 (Radefeld/Leipzig)-DE
