1,AT ==> DE ==> BG,,,,,,,,,"If any country use the Germany as Transit Hub ""Additional Time"" and ""Additional KM""",,,,,,,,,,,,
,,,,,,,,,,,,ORG,DEST,,,Time ,Km,Time2,Km2,,Total Time,Total Km
,GB,DE,Ryton,Köln,,,,,,LT ==> DE ==> DK,3,Radefeld,Regensburg,Hamburg,,3.37,382,,,,,
,,,,,,,,,,LT ==> DE ==> ES,4,Radefeld,Regensburg,Speyer,,4.18,493,,,,,
23,HU==>DE,,,,,,,,,LT ==> DE ==> FI,5,Radefeld,Regensburg,Hamburg,,3.37,382,,,,,
,,,,,,,,,,LT ==> DE ==> FR,6,Radefeld,Regensburg,Lahr,,5.18,613,,,,,
,HU,DE,NPKK,Regensburg,,,,Regensburg,,LT ==> DE ==> GB,7,Radefeld,Regensburg,Dorsten,,4.02,471,,,,,
,,,,,,,,,,LT ==> DE ==> GR,8,Radefeld,Regensburg,Feucht,,2.40,281,,,,,
23,LT==>DE,,,,,,,,,LT ==> DE ==> HR,9,Radefeld,Regensburg,Feucht,,2.40,281,,,,,
,,,,,,,,,,LT ==> DE ==> HU,10,Radefeld,Regensburg,Feucht,,2.40,281,,,,,
,LT,DE,Kaunas,Radefeld,,,,Radefeld,,LT ==> DE ==> IE,11,Radefeld,Regensburg,Köln,,4.43,495,,,,,
,,,,,,,,,,LT ==> DE ==> LU,12,Radefeld,Regensburg,Köln,,4.43,495,,,,,
24,NL==>DE,,,,,,,,,LT ==> DE ==> NL,13,Radefeld,Regensburg,Dorsten,,4.02,471,,,,,
,,,,,,,,,,LT ==> DE ==> PT,14,Radefeld,Regensburg,Speyer,,4.18,493,,,,,
,NL,DE,Zaltbommel,Bochum,,,,Bochum,,LT ==> DE ==> RO,15,Radefeld,Regensburg,Feucht,,2.40,281,,,,,
,NL,DE,Zaltbommel,Krefeld,,,,Krefeld,,LT ==> DE ==> SE,16,Radefeld,Regensburg,Hamburg,,3.37,382,,,,,
,NL,DE,Zaltbommel,Köln,,,,Köln,,LT ==> DE ==> SI,17,Radefeld,Regensburg,,,2.90,340,,,,,
,NL,DE,Zaltbommel,Neuwied,,,,Neuwied,,LT ==> DE ==> SK,18,Radefeld,Regensburg,,,2.90,340,,,,,
,NL,DE,Zaltbommel,Regensburg,,,,Regensburg,,NL ==> DE ==> BG,1,Bochum,Regensburg,Feucht,,4.17,475,,,,,
,NL,DE,Zaltbommel,Dorsten,,,,Dorsten,,NL ==> DE ==> BE,2,Bochum,Regensburg,Köln,,1.07,87,,,,,
,,,,,,,,,,NL ==> DE ==> DK,3,Bochum,Regensburg,Hamburg,,3.43,376,,,,,
25,PL==>DE,,,,,,,,,NL ==> DE ==> ES,4,Bochum,Regensburg,Speyer,,3.15,341,,,,,
,,,,,,,,,,NL ==> DE ==> FI,5,Bochum,Regensburg,Hamburg,,3.43,376,,,,,
,PL,DE,Pozna?,Rüdersdorf,,,,Rüdersdorf,,NL ==> DE ==> FR,6,Bochum,Regensburg,Lahr,,4.12,461,,,,,
,,,,,,,,,,NL ==> DE ==> GB,7,Bochum,Regensburg,Dorsten,,0.58,44,,,,,
26,SE==>DE,,,,,,,,,NL ==> DE ==> GR,8,Bochum,Regensburg,Feucht,,4.17,475,,,,,
,,,,,,,,,,NL ==> DE ==> HR,9,Bochum,Regensburg,Feucht,,4.17,475,,,,,
,SE,DE,Helsingborg,Neumünster,,,,Neumünster,,NL ==> DE ==> HU,10,Bochum,Regensburg,Feucht,,4.17,475,,,,,
,,,,,,,,,,NL ==> DE ==> IE,11,Bochum,Regensburg,Köln,,1.07,87,,,,,
27,SI==>DE,,,,,,,,,NL ==> DE ==> LU,12,Bochum,Regensburg,Köln,,1.07,87,,,,,
,,,,,,,,,,NL ==> DE ==> NL,13,Bochum,Regensburg,Dorsten,,0.58,44,,,,,
,SI,DE,Ljubljana,Feucht,,,,Feucht,,NL ==> DE ==> PT,14,Bochum,Regensburg,Speyer,,3.15,341,,,,,
,,,,,,,,,,NL ==> DE ==> RO,15,Bochum,Regensburg,Feucht,,4.17,475,,,,,
,,,,,,,,,,NL ==> DE ==> SE,16,Bochum,Regensburg,Hamburg,,3.43,376,,,,,
,,,,,,,,,,NL ==> DE ==> SI,17,Bochum,Regensburg,,,4.92,554,,,,,
,,,,,,,,,,NL ==> DE ==> SK,18,Bochum,Regensburg,,,4.92,554,,,,,
,,,,,,,,,2,NL ==> DE ==> BG,1,Krefeld,Regensburg,Feucht,,4.35,496,,,,,
,,,,,,,,,,NL ==> DE ==> BE,2,Krefeld,Regensburg,Köln,,0.80,60,,,,,
,,,,,,,,,,NL ==> DE ==> DK,3,Krefeld,Regensburg,Hamburg,,3.85,431,,,,,
,,,,,,,,,,NL ==> DE ==> ES,4,Krefeld,Regensburg,Speyer,,2.90,315,,,,,
,,,,,,,,,,NL ==> DE ==> FI,5,Krefeld,Regensburg,Hamburg,,3.85,431,,,,,
,,,,,,,,,,NL ==> DE ==> FR,6,Krefeld,Regensburg,Lahr,,4.07,457,,,,,
,,,,,,,,,,NL ==> DE ==> GB,7,Krefeld,Regensburg,Dorsten,,0.72,61,,,,,
,,,,,,,,,,NL ==> DE ==> GR,8,Krefeld,Regensburg,Feucht,,4.35,496,,,,,
,,,,,,,,,,NL ==> DE ==> HR,9,Krefeld,Regensburg,Feucht,,4.35,496,,,,,
,,,,,,,,,,NL ==> DE ==> HU,10,Krefeld,Regensburg,Feucht,,4.35,496,,,,,
,,,,,,,,,,NL ==> DE ==> IE,11,Krefeld,Regensburg,Köln,,0.80,60,,,,,
,,,,,,,,,,NL ==> DE ==> LU,12,Krefeld,Regensburg,Köln,,0.80,60,,,,,
,,,,,,,,,,NL ==> DE ==> NL,13,Krefeld,Regensburg,Dorsten,,0.72,61,,,,,
,,,,,,,,,,NL ==> DE ==> PT,14,Krefeld,Regensburg,Speyer,,2.90,315,,,,,
,,,,,,,,,,NL ==> DE ==> RO,15,Krefeld,Regensburg,Feucht,,4.35,496,,,,,
,,,,,,,,,,NL ==> DE ==> SE,16,Krefeld,Regensburg,Hamburg,,3.85,431,,,,,
