,City,Ref_City,Country
149,Barcelona (Satellite; Pineda),Barcelona (Satellite; Pineda),ES
150,Barcelona (Satellite; Vic),Barcelona (Satellite; Vic),ES
151,Barcelona (Satellite; Igualada),Barcelona (Satellite; Igualada),ES
152,Barcelona (Satellite; Vilafranca),Barcelona (Satellite; Vilafranca),ES
153,Gipuzkoa (Bergara),Gipuzkoa (Bergara),ES
154,Bizkaia (Bilbao),Bizkaia (Bilbao),ES
155,Cantabria (Santander),Cantabria (Santander),ES
156,Castellón,Castellón,ES
157,Ciudad Real,Ciudad Real,ES
158,"Coruña, A","Coruña, A",ES
159,Girona,Girona,ES
160,Madrid (Satellite; Guadalajara),Madrid (Satellite; Guadalajara),ES
161,Huelva,Huelva,ES
162,Illes Balears (Ibiza),Illes Balears (Ibiza),ES
163,Jaén,Jaén,ES
164,Lugo,Lugo,ES
165,Madrid (Satellite; Villalba),Madrid (Satellite; Villalba),ES
166,Málaga,Málaga,ES
167,Ourense,Ourense,ES
168,Illes Balears (Mallorca),Illes Balears (Mallorca),ES
169,Navarra (Pamplona),Navarra (Pamplona),ES
170,Gipuzkoa (San Sebastián),Gipuzkoa (San Sebastián),ES
171,Santiago (Coruña satellite),Santiago (Coruña satellite),ES
172,Sevilla,Sevilla,ES
173,Tarragona,Tarragona,ES
174,Valencia,Valencia,ES
175,Valladolid,Valladolid,ES
176,Pontevedra (Vigo),Pontevedra (Vigo),ES
177,Zaragoza,Zaragoza,ES
178,Turku (Lieto),Lieto (Turku),FL
179,Vantaa,Vantaa (Helsinki),FL
180,Combs-la-Ville,Combs la ville,FR
,Combs la ville,Combs la ville,FR
,COMBS LA VILLE,Combs la ville,FR
181,BRIE COMTE ROBERT,BRIE COMTE ROBERT,FR
182,REIMS,REIMS,FR
183,ST OUEN,ST OUEN,FR
184,PLAISIR,PLAISIR,FR
185,MITRY,MITRY,FR
186,METZ,METZ,FR
187,STRASBOURG,STRASBOURG,FR
188,BESANCON,BESANCON,FR
189,ROUEN,ROUEN,FR
190,CAEN,CAEN,FR
191,ARRAS,ARRAS,FR
192,LOMME,LOMME,FR
193,TOULOUSE,TOULOUSE,FR
194,BORDEAUX,BORDEAUX,FR
195,LIMOGES,LIMOGES,FR
196,NANTES,NANTES,FR
197,RENNES,RENNES,FR
198,TOURS,TOURS,FR
199,QUIMPER,QUIMPER,FR
200,LYON,LYON,FR
201,CHAMBERY,CHAMBERY,FR
202,CLERMONT FD,CLERMONT FD,FR
203,VITROLLES,VITROLLES,FR
204,NICE,NICE,FR
205,BRIGNOLES,BRIGNOLES,FR
206,ORANGE,ORANGE,FR
207,BASTIA,BASTIA,FR
208,GRENOBLE,GRENOBLE,FR
209,BEZIERS,BEZIERS,FR
210,Paris,Paris,FR
211,Slough,Slough,GB
212,Ryton,Ryton Gateway,GB
213,Spata,Spata,GR
214,Zagreb,Zagreb,HR
215,OLK,Budapest OLK,HU
216,Budapest,Budapest NPKK (OE),HU
,Budapest NPKK (OE),Budapest NPKK (OE),HU
217,Portlaoise,Portlaoise,IE
218,Dublin,Dublin,IE
219,Kaunas,Kaunas,LT
220,Bettembourg,Bettembourg,LU
221,EINDHOVEN,Eindhoven-Noord,NL
222,Utrecht,Utrecht,NL
223,Zaltbommel,Zaltbommel,NL
224,Alkmaar,Alkmaar,NL
225,Amersfoort,Amersfoort,NL
226,Amsterdam,Amsterdam,NL
227,Arnhem,Arnhem,NL
228,Den Haag,Den Haag,NL
229,Drachten,Drachten,NL
230,Eindhoven,Eindhoven-Noord,NL
231,Hengelo,Hengelo,NL
232,Beek,Beek,NL
233,Roosendaal,Roosendaal,NL
234,Rotterdam,Rotterdam,NL
235,Den Bosch,Den Bosch,NL
236,Zwolle,Zwolle,NL
237,Utrecht SVC,Utrecht SVC,NL
238,New Amsterdam,New Amsterdam,NL
239,New Den Bosch,New Den Bosch,NL
240,Dedemsvaart,Dedemsvaart,NL
241,Wehkamp,Wehkamp,NL
242,Aalsmeer,Aalsmeer,NL
243,Abcoude,Abcoude,NL
244,Almelo,Almelo,NL
245,Almere-Noord,Almere,NL
246,Alphen,Alphen,NL
247,Almere-Zuid,Almere,NL
248,Amsterdam Centrum,Amsterdam Centrum,NL
249,Amsterdam-Duivendrecht,Amsterdam,NL
250,Amsterdam Hemweg,Amsterdam Hemweg,NL
251,Amsterdam-Noord,Amsterdam,NL
252,Amsterdam Diemen,Amsterdam Diemen,NL
253,Amsterdam-Zuid,Amsterdam,NL
254,Apeldoorn,Apeldoorn,NL
255,Appingedam,Appingedam,NL
256,Assen,Assen,NL
257,Asten,Asten,NL
258,A'dam Westpoort / Zaandam,A'dam Westpoort / Zaandam,NL
259,Baarlo,Baarlo,NL
260,Barneveld,Barneveld,NL
261,Berkel,Berkel,NL
262,Beverwijk,Beverwijk,NL
263,De Bilt,De Bilt,NL
264,Bergen op Zoom,Bergen op Zoom,NL
265,Breda,Breda,NL
266,Brunssum,Brunssum,NL
267,Chaam,Chaam,NL
268,Delft,Delft,NL
269,Deventer,Deventer,NL
270,Dokkum,Dokkum,NL
271,Dongen,Dongen,NL
272,Doorn,Doorn,NL
273,Dordrecht,Dordrecht,NL
274,Doesburg,Doesburg,NL
275,Drunen,Drunen,NL
276,Ede-Veenendaal,Ede,NL
277,Eersel,Eersel,NL
278,Eindhoven-Zuid,Eindhoven-Noord,NL
279,Emmeloord,Emmeloord,NL
280,Emmen,Emmen,NL
281,Enschede,Enschede,NL
282,Epe,Epe,NL
283,Ermelo,Ermelo,NL
284,Doetinchem-Etten,Doetinchem,NL
285,Goes,Goes,NL
286,Goor,Goor,NL
287,Gravenhage Centrum,Gravenhage Centrum,NL
288,Groningen,Groningen,NL
289,Grave,Grave,NL
290,Groningen-West,Groningen,NL
291,Groesbeek,Groesbeek,NL
292,Gravenhage-Zuid,Gravenhage,NL
293,Harlingen,Harlingen,NL
294,Haarlem-Noord,Haarlem,NL
295,Hardenberg,Hardenberg,NL
296,s-Hertogenbosch,s,NL
297,Hoogeveen,Hoogeveen,NL
298,Hoofddorp,Hoofddorp,NL
299,Heerhugowaard,Heerhugowaard,NL
300,Hilversum,Hilversum,NL
301,Hellevoetsluis,Hellevoetsluis,NL
302,Horn,Horn,NL
303,Houten,Houten,NL
304,Heerenveen,Heerenveen,NL
305,Kampen,Kampen,NL
306,Kerkrade,Kerkrade,NL
307,Krimpen aan de Lek,Krimpen aan de Lek,NL
308,Krommenie,Krommenie,NL
309,Leeuwarden,Leeuwarden,NL
310,Leiden,Leiden,NL
311,Lelystad,Lelystad,NL
312,Leusden,Leusden,NL
313,Lichtenvoorde,Lichtenvoorde,NL
314,Lisse,Lisse,NL
315,Loosdrecht,Loosdrecht,NL
316,Maastricht-Centrum,Maastricht,NL
317,Maastricht,Maastricht,NL
318,Maarssen,Maarssen,NL
319,Middelburg,Middelburg,NL
320,Middelharnis,Middelharnis,NL
321,Mijnsheerenland,Mijnsheerenland,NL
322,Naaldwijk,Naaldwijk,NL
323,Nuenen,Nuenen,NL
324,Nijmegen,Nijmegen,NL
